Entity,Code,Year,"Average working hours of children, study and work, ages 7-14 (hours per week)"
Afghanistan,AFG,2011,13.1
Bangladesh,BGD,2006,9.8
Bangladesh,BGD,2013,32.03822
Burkina Faso,BFA,2010,17.6
Chile,CHL,2012,7.9
Ecuador,ECU,2011,15.1
Ecuador,ECU,2015,10.84399
Egypt,EGY,2009,18.8
El Salvador,SLV,2012,20.2
El Salvador,SLV,2013,20.01278
Eswatini,SWZ,2010,4.1
Ethiopia,ETH,2011,18.8
Gambia,GMB,2008,13.4
Gambia,GMB,2015,10.3
Ghana,GHA,2006,13.7
Guatemala,GTM,2012,16.2
Guatemala,GTM,2014,31.0951
Guatemala,GTM,2015,18.549526
Guinea,GIN,2012,15.6
Haiti,HTI,2012,5.9
Honduras,HND,2013,15.7
Honduras,HND,2014,14.29735
Indonesia,IDN,2010,14.4
Iraq,IRQ,2011,10.3
Jamaica,JAM,2011,1.9
Kazakhstan,KAZ,2006,6.7
Mongolia,MNG,2012,15.1
Mongolia,MNG,2013,13.6817665
Mozambique,MOZ,2008,12.9
Nepal,NPL,2008,16.4
Nepal,NPL,2014,8.815492
Syria,SYR,2006,12.2
Tanzania,TZA,2014,14.17376
Togo,TGO,2010,16.2
Togo,TGO,2014,8.117086
Tunisia,TUN,2012,3.5
Ukraine,UKR,2012,3.0
