Entity,Code,Year,Share of Revenue from Income tax (Flora (1983) and ICTD (2016))
Austria,AUT,1960,18.5
Austria,AUT,1980,29.27
Austria,AUT,2000,35.25
Austria,AUT,2013,35.84
Finland,FIN,1980,38.91
Finland,FIN,2000,45.599998
Norway,NOR,1880,34.200001
Norway,NOR,1900,38.599998
Norway,NOR,1920,74.900002
Norway,NOR,1940,48.599998
Norway,NOR,1980,35.25
Norway,NOR,2000,33.66
United Kingdom,GBR,1856,25.5
United Kingdom,GBR,1880,10.0
United Kingdom,GBR,1900,12.6
United Kingdom,GBR,1920,55.599998
United Kingdom,GBR,1940,37.099998
United Kingdom,GBR,1960,36.599998
United Kingdom,GBR,2000,40.73
United Kingdom,GBR,2013,34.889999
