Entity,Code,Year,Natural growth rate - Sex: all - Age: all - Variant: estimates,Child mortality rate - Sex: all - Age: 0-4 - Variant: estimates,Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Angola,AGO,2021,3.08,6.88471,34503776.0,
Asia,,2021,,,4693332132.0,
Australia,AUS,2021,0.51,0.33908,25921094.0,
Azerbaijan,AZE,2021,0.31,1.86127,10312992.0,
Bangladesh,BGD,2021,1.21,2.7698998,169356240.0,
Benin,BEN,2021,2.72,8.33789,12996901.0,
Brazil,BRA,2021,0.46,1.4446,214326224.0,
Bulgaria,BGR,2021,-1.39,0.61714,6885864.0,
Chad,TCD,2021,3.09,10.66955,17179744.0,
China,CHN,2021,0.02,0.68583,1425893504.0,
Cote d'Ivoire,CIV,2021,2.49,7.56744,27478250.0,
Democratic Republic of Congo,COD,2021,3.23,7.8581495,95894120.0,
East Timor,TLS,2021,1.77,4.11491,1320944.0,
Egypt,EGY,2021,1.62,1.88508,109262184.0,
Eswatini,SWZ,2021,1.28,5.05009,1192273.0,
Ethiopia,ETH,2021,2.56,4.7206903,120283024.0,
Europe,,2021,,,746417727.0,
Fiji,FJI,2021,1.05,2.79012,924615.0,
French Guiana,GUF,2021,2.03,0.96645004,297462.0,
Germany,DEU,2021,-0.33,0.36256,83408560.0,
Guinea,GIN,2021,2.44,9.30472,13531909.0,
Haiti,HTI,2021,1.48,6.01092,11447575.0,
India,IND,2021,0.7,3.11861,1407563904.0,
Indonesia,IDN,2021,0.64,2.23194,273753184.0,
Iran,IRN,2021,0.73,1.26375,87923432.0,
Iraq,IRQ,2021,2.26,2.46205,43533592.0,
Kenya,KEN,2021,1.96,4.1131,53005616.0,
Laos,LAO,2021,1.54,4.25943,7425055.0,
Lesotho,LSO,2021,1.19,8.71052,2281464.0,
Liberia,LBR,2021,2.24,7.54857,5193422.0,
Libya,LBY,2021,1.18,1.10779,6735280.0,
Madagascar,MDG,2021,2.38,4.87476,28915652.0,
Malawi,MWI,2021,2.59,3.8196702,19889742.0,
Mauritania,MRT,2021,2.58,6.09523,4614981.0,
Mauritius,MUS,2021,0.07,1.69755,1298922.0,
Mayotte,MYT,2021,3.05,0.48767,316022.0,
Moldova,MDA,2021,-0.39,1.4253199,3061509.0,
Morocco,MAR,2021,1.14,1.7918699,37076588.0,
Mozambique,MOZ,2021,2.78,6.84142,32077074.0,
Myanmar,MMR,2021,0.73,4.27911,53798088.0,
Niger,NER,2021,3.72,7.53853,25252722.0,
Nigeria,NGA,2021,2.4,11.123549,213401328.0,
Niue,NIU,2021,0.01,2.42122,1957.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,2.04,6.3176603,231402112.0,
Palestine,PSE,2021,2.44,1.6384001,5133393.0,
Peru,PER,2021,0.96,1.23791,33715464.0,
Philippines,PHL,2021,1.45,2.53896,113880336.0,
Qatar,QAT,2021,0.85,0.5544,2688239.0,
Russia,RUS,2021,-0.73,0.48901,145102752.0,
Rwanda,RWA,2021,2.37,3.86737,13461891.0,
Saint Helena,SHN,2021,-0.84,1.38197,5428.0,
Saudi Arabia,SAU,2021,1.46,0.68990004,35950396.0,
Sierra Leone,SLE,2021,2.22,9.950319,8420642.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,-0.09,0.29209,51830136.0,
South Sudan,SSD,2021,1.81,9.95411,10748278.0,
Sudan,SDN,2021,2.68,5.47112,45657204.0,
Tajikistan,TJK,2021,2.22,3.13161,9750078.0,
Tanzania,TZA,2021,3.0,4.5864897,63588332.0,
Tunisia,TUN,2021,0.82,1.63162,12262949.0,
Ukraine,UKR,2021,-0.91,0.65102,43531424.0,
Vatican,VAT,2021,-1.78,0.74801004,,
Yemen,YEM,2021,2.37,6.2158403,32981644.0,
Zimbabwe,ZWE,2021,2.15,5.2148,15993525.0,
