Entity,Code,Year,Inbound Tourism Expenditure (adjusted for inflation and cost of living)
Denmark,DNK,1995,4112650500
Denmark,DNK,2000,5264680000
Denmark,DNK,2005,5110562300
Denmark,DNK,2010,4649002500
Denmark,DNK,2015,6083956000
Denmark,DNK,2021,3638387500
Greece,GRC,1995,7819592000
Greece,GRC,2000,21716680000
Greece,GRC,2005,19923020000
Greece,GRC,2010,14925322000
Greece,GRC,2015,22217249000
Greece,GRC,2021,16249075000
Mexico,MEX,1995,19626758000
Mexico,MEX,2000,16177111000
Mexico,MEX,2005,20867250000
Mexico,MEX,2010,19789867000
Mexico,MEX,2015,30738786000
Mexico,MEX,2021,33831305000
Poland,POL,1995,23582738000
Poland,POL,2000,20052394000
Poland,POL,2005,14509392000
Poland,POL,2010,17544473000
Poland,POL,2015,22156753000
Poland,POL,2021,17496658000
Russia,RUS,1995,22779320000
Russia,RUS,2000,23006374000
Russia,RUS,2005,19823243000
Russia,RUS,2010,19673405000
Russia,RUS,2015,24843028000
Russia,RUS,2021,10760401000
