Entity,Code,Year,Number of homicides - Both sexes - All ages
El Salvador,SLV,1995,7977.0
El Salvador,SLV,2000,3551.0
El Salvador,SLV,2005,3882.0
El Salvador,SLV,2010,3987.0
El Salvador,SLV,2015,6656.0
El Salvador,SLV,2021,1147.0
United Kingdom,GBR,1990,713.44666
United Kingdom,GBR,1995,900.0
United Kingdom,GBR,2000,915.0
United Kingdom,GBR,2005,834.0
United Kingdom,GBR,2010,756.0
United Kingdom,GBR,2015,652.0
United States,USA,1990,23438.0
United States,USA,1995,21606.0
United States,USA,2000,15586.0
United States,USA,2010,14722.0
United States,USA,2015,15883.0
United States,USA,2021,22941.0
