Entity,Code,Year,9.b.1 - Proportion of medium and high-tech manufacturing value added in total value added (%) - NV_IND_TECH
Burundi,BDI,2000,2.53
Burundi,BDI,2005,3.31
Burundi,BDI,2010,3.08
Burundi,BDI,2015,2.79
Burundi,BDI,2020,2.79
Egypt,EGY,2000,36.19
Egypt,EGY,2005,28.51
Egypt,EGY,2010,23.42
Egypt,EGY,2015,18.21
Egypt,EGY,2020,22.73
India,IND,2000,41.03
India,IND,2005,39.24
India,IND,2010,38.13
India,IND,2015,42.86
India,IND,2020,44.58
Italy,ITA,2000,36.93
Italy,ITA,2005,36.15
Italy,ITA,2010,41.11
Italy,ITA,2015,42.09
Italy,ITA,2020,42.89
Macao,MAC,2000,3.9
Macao,MAC,2005,2.04
Macao,MAC,2010,2.09
Macao,MAC,2015,2.09
Macao,MAC,2020,2.13
Oman,OMN,2000,9.26
Oman,OMN,2005,15.84
Oman,OMN,2010,19.38
Oman,OMN,2015,20.52
Oman,OMN,2020,45.02
Qatar,QAT,2000,21.54
Qatar,QAT,2005,21.76
Qatar,QAT,2010,22.7
Qatar,QAT,2015,56.09
Qatar,QAT,2020,63.47
