Entity,Code,Year,Share of the population using at least basic drinking water services
Bermuda,BMU,2000,99.99414
Bermuda,BMU,2005,99.95622
Bermuda,BMU,2010,99.918304
Bermuda,BMU,2015,99.90314
Bermuda,BMU,2020,99.90314
Bermuda,BMU,2022,99.90314
India,IND,2000,79.87927
India,IND,2005,83.03678
India,IND,2010,86.15087
India,IND,2015,89.18931
India,IND,2020,92.14561
India,IND,2022,93.299095
Maldives,MDV,2000,93.81618
Maldives,MDV,2005,95.658714
Maldives,MDV,2010,97.26818
Maldives,MDV,2015,98.81425
Maldives,MDV,2020,99.54445
Maldives,MDV,2022,99.55835
Saint Martin (French part),MAF,2000,100.0
Saint Martin (French part),MAF,2005,100.0
Saint Martin (French part),MAF,2010,99.99833
Saint Martin (French part),MAF,2015,99.9656
Saint Martin (French part),MAF,2020,99.93288
Saint Martin (French part),MAF,2022,99.92633
Spain,ESP,2000,100.0
Spain,ESP,2005,100.0
Spain,ESP,2010,100.0
Spain,ESP,2015,99.92673
Spain,ESP,2020,99.92561
Spain,ESP,2022,99.925156
Thailand,THA,2000,94.115364
Thailand,THA,2005,95.92398
Thailand,THA,2010,97.54343
Thailand,THA,2015,98.92936
Thailand,THA,2020,100.0
Thailand,THA,2022,100.0
