Entity,Code,Year,Terrorist attacks Unknown,Terrorist attacks Unarmed Assault,Terrorist attacks Facility/Infrastructure Attack,Terrorist attacks Assassination,Terrorist attacks Hijacking,Terrorist attacks Hostage Taking (Barricade Incident),Terrorist attacks Hostage Taking (Kidnapping),Terrorist attacks Armed Assault,Terrorist attacks Bombing/Explosion
World,OWID_WRL,1970,6,3,174,20,11,3,33,61,333
World,OWID_WRL,1972,1,0,19,261,12,4,16,62,184
World,OWID_WRL,1974,1,4,42,158,3,4,34,45,279
World,OWID_WRL,1976,5,3,112,199,4,6,43,115,390
World,OWID_WRL,1978,29,5,171,203,0,37,78,202,579
World,OWID_WRL,1980,48,1,113,336,14,19,60,212,716
World,OWID_WRL,1982,57,3,92,258,7,20,62,199,792
World,OWID_WRL,1984,147,7,139,405,21,27,58,381,1595
World,OWID_WRL,1986,112,6,137,348,4,27,85,349,1385
World,OWID_WRL,1988,36,5,131,777,9,14,99,756,1376
World,OWID_WRL,1990,11,6,183,769,7,14,143,784,1547
World,OWID_WRL,1992,166,36,445,1007,21,16,133,1240,1651
World,OWID_WRL,1994,178,31,183,689,29,26,167,725,1054
World,OWID_WRL,1996,275,19,207,441,23,13,134,597,1188
World,OWID_WRL,1998,23,15,57,24,3,0,43,255,494
World,OWID_WRL,2000,43,25,111,98,7,3,125,483,881
World,OWID_WRL,2002,25,10,47,71,6,4,74,310,680
World,OWID_WRL,2004,26,4,33,100,1,3,75,248,634
World,OWID_WRL,2006,39,15,104,135,3,6,193,728,1489
World,OWID_WRL,2008,106,28,273,218,16,5,385,1066,2627
World,OWID_WRL,2010,116,21,288,360,13,8,391,1110,2508
World,OWID_WRL,2012,184,31,301,460,5,20,356,2083,5060
World,OWID_WRL,2014,796,47,776,918,48,50,1409,4037,8739
World,OWID_WRL,2016,1000,65,690,834,43,61,1177,2662,7344
World,OWID_WRL,2018,1002,74,643,817,29,54,1019,2522,3560
World,OWID_WRL,2021,601,20,279,449,14,16,447,1266,1824
