Entity,Code,Year,Coal (% equivalent primary energy)
Australia,AUS,1965,47.45109
Australia,AUS,1980,38.467876
Australia,AUS,1990,43.012745
Australia,AUS,2000,45.329063
Australia,AUS,2010,40.255753
Australia,AUS,2022,25.93105
Belarus,BLR,1990,5.3029313
Belarus,BLR,2000,4.5368595
Belarus,BLR,2010,2.4513922
Belarus,BLR,2022,3.6118104
Chile,CHL,1965,18.705538
Chile,CHL,1980,11.84999
Chile,CHL,1990,19.457464
Chile,CHL,2000,12.155096
Chile,CHL,2010,14.350735
Chile,CHL,2022,12.312182
Denmark,DNK,1990,35.072945
Denmark,DNK,2000,19.52598
Denmark,DNK,2010,19.949297
Denmark,DNK,2022,6.333298
Netherlands,NLD,1965,24.895044
Netherlands,NLD,1980,5.318636
Netherlands,NLD,1990,11.163148
Netherlands,NLD,2000,8.966631
Netherlands,NLD,2010,7.4982038
Netherlands,NLD,2022,6.5575547
Turkey,TUR,1990,33.18907
Turkey,TUR,2000,30.21023
Turkey,TUR,2010,29.0219
Turkey,TUR,2022,24.89133
