Entity,Code,Year,$6.85 a day - Share of population in poverty,Mean income or consumption,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,,32353592.0,
Asia,,2019,,,4627738749.0,
Belarus,BLR,2019,2.4408443,19.132462,9673971.0,
Brazil,BRA,2019,26.172722,21.11513,211782880.0,
China,CHN,2019,24.719517,14.174434,1421864064.0,
Colombia,COL,2019,34.803917,15.542431,50187404.0,
Egypt,EGY,2019,68.76066,6.7583957,105618672.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,52.59716,7.907095,918472.0,
Guatemala,GTM,2019,,,17106338.0,
India,IND,2019,82.368286,4.9689527,1383112064.0,
Indonesia,IDN,2019,61.919777,7.3372326,269582880.0,
Italy,ITA,2019,2.6308076,49.89793,59727936.0,
Kosovo,OWID_KOS,2019,,,1686856.0,
Malaysia,MYS,2019,,,32804024.0,
Mongolia,MNG,2019,,,3232435.0,
Mozambique,MOZ,2019,96.08354,2.102978,30285602.0,
Nicaragua,NIC,2019,,,6663919.0,
Nigeria,NGA,2019,,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Panama,PAN,2019,12.0776205,33.49605,4232538.0,
Paraguay,PRY,2019,19.655186,19.460018,6530029.0,
Russia,RUS,2019,4.1554556,23.716806,145742288.0,
Senegal,SEN,2019,,,16000783.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,49.34548,9.24845,21649664.0,
Thailand,THA,2019,13.146917,16.043337,71307768.0,
Tunisia,TUN,2019,,,12049319.0,
Turkey,TUR,2019,12.611529,22.202902,83481688.0,
Ukraine,UKR,2019,7.097806,14.921345,44211100.0,
United States,USA,2019,1.7482497,85.874725,334319680.0,
Vietnam,VNM,2019,,,95776712.0,
Zambia,ZMB,2019,,,18380478.0,
