Entity,Code,Year,Number of ongoing conflicts per state - Conflict type: intrastate (internationalized),Number of ongoing conflicts per state - Conflict type: intrastate (non-internationalized),Number of ongoing conflicts per state - Conflict type: extrasystemic,Number of ongoing conflicts per state - Conflict type: interstate
World,OWID_WRL,1946,0.013333334,0.06666667,0.04,0.026666667
World,OWID_WRL,1949,0.0,0.13953489,0.046511628,0.034883723
World,OWID_WRL,1952,0.0,0.08139535,0.058139537,0.023255814
World,OWID_WRL,1955,0.0,0.07777778,0.06666667,0.0
World,OWID_WRL,1958,0.010416667,0.114583336,0.052083332,0.010416667
World,OWID_WRL,1961,0.017094018,0.12820514,0.017094018,0.008547009
World,OWID_WRL,1964,0.03125,0.1015625,0.03125,0.0234375
World,OWID_WRL,1967,0.01459854,0.15328467,0.02919708,0.03649635
World,OWID_WRL,1970,0.034965035,0.10489511,0.02097902,0.013986014
World,OWID_WRL,1973,0.02027027,0.10810811,0.02027027,0.02027027
World,OWID_WRL,1976,0.012738854,0.17834395,0.0,0.006369427
World,OWID_WRL,1979,0.024390243,0.20121951,0.0,0.018292682
World,OWID_WRL,1982,0.029940119,0.21556886,0.0,0.011976048
World,OWID_WRL,1985,0.02366864,0.18343195,0.0,0.01183432
World,OWID_WRL,1988,0.023391813,0.18128654,0.0,0.01754386
World,OWID_WRL,1991,0.010810811,0.26486486,0.0,0.010810811
World,OWID_WRL,1994,0.010471204,0.2460733,0.0,0.005235602
World,OWID_WRL,1997,0.020942409,0.17801048,0.0,0.005235602
World,OWID_WRL,2000,0.020942409,0.17277487,0.0,0.010471204
World,OWID_WRL,2003,0.015625,0.14583333,0.0,0.010416667
World,OWID_WRL,2006,0.025906736,0.14507772,0.0,0.0
World,OWID_WRL,2009,0.035714287,0.15306123,0.0,0.0
World,OWID_WRL,2012,0.04568528,0.11675127,0.0,0.005076142
World,OWID_WRL,2015,0.10659899,0.16243654,0.0,0.005076142
World,OWID_WRL,2018,0.0964467,0.15228426,0.0,0.010152284
World,OWID_WRL,2022,0.11167513,0.15228426,0.0,0.015228426
