Entity,Code,Year,Share of global cumulative CO₂ emissions from oil
Canada,CAN,1855,0.0
Canada,CAN,1880,1.9034928
Canada,CAN,1900,0.8337067
Canada,CAN,1920,0.9854591
Canada,CAN,1940,1.6450013
Canada,CAN,1960,2.8500023
Canada,CAN,1980,2.9583116
Canada,CAN,2000,2.6331584
Canada,CAN,2022,2.4699056
China,CHN,1920,0.0
China,CHN,1940,0.040120088
China,CHN,1960,0.19352128
China,CHN,1980,1.4564953
China,CHN,2000,2.8959997
China,CHN,2022,5.7945457
European Union (27),,1855,100.0
European Union (27),,1880,18.195354
European Union (27),,1900,14.452038
European Union (27),,1920,8.833402
European Union (27),,1940,7.237279
European Union (27),,1960,8.7588625
European Union (27),,1980,17.550144
European Union (27),,2000,17.16166
European Union (27),,2022,15.037616
India,IND,1880,0.18867347
India,IND,1900,1.625184
India,IND,1920,1.6869496
India,IND,1940,0.6492236
India,IND,1960,0.48975575
India,IND,1980,0.68986535
India,IND,2000,1.3078085
India,IND,2022,2.5177524
United Kingdom,GBR,1855,0.0
United Kingdom,GBR,1880,3.626301
United Kingdom,GBR,1900,4.2127237
United Kingdom,GBR,1920,3.4610527
United Kingdom,GBR,1940,1.3448693
United Kingdom,GBR,1960,2.1493998
United Kingdom,GBR,1980,3.0675738
United Kingdom,GBR,2000,2.6767664
United Kingdom,GBR,2022,2.2238147
United States,USA,1855,0.0
United States,USA,1880,64.227974
United States,USA,1900,47.123207
United States,USA,1920,56.49234
United States,USA,1940,62.980625
United States,USA,1960,56.370403
United States,USA,1980,36.9572
United States,USA,2000,30.484255
United States,USA,2022,26.547272
