Entity,Code,Year,Growth rate - Sex: all - Age: all - Variant: medium,Growth rate - Sex: all - Age: all - Variant: estimates
Least developed countries,,2040,1.81,
Least developed countries,,2060,1.25,
Least developed countries,,2080,0.76,
Least developed countries,,2100,0.37,
Least developed countries,,1950,,2.0
Least developed countries,,1960,,2.37
Least developed countries,,1980,,2.11
Least developed countries,,2000,,2.33
Least developed countries,,2020,,2.43
"Less developed regions, excluding least developed countries",,2040,0.48,
"Less developed regions, excluding least developed countries",,2060,0.05,
"Less developed regions, excluding least developed countries",,2080,-0.19,
"Less developed regions, excluding least developed countries",,2100,-0.34,
"Less developed regions, excluding least developed countries",,1950,,2.02
"Less developed regions, excluding least developed countries",,1960,,1.66
"Less developed regions, excluding least developed countries",,1980,,2.15
"Less developed regions, excluding least developed countries",,2000,,1.45
"Less developed regions, excluding least developed countries",,2020,,0.83
More developed regions,,2040,-0.06,
More developed regions,,2060,-0.22,
More developed regions,,2080,-0.19,
More developed regions,,2100,-0.15,
More developed regions,,1950,,1.14
More developed regions,,1960,,1.15
More developed regions,,1980,,0.67
More developed regions,,2000,,0.34
More developed regions,,2020,,0.03
World,OWID_WRL,2040,0.64,
World,OWID_WRL,2060,0.28,
World,OWID_WRL,2080,0.06,
World,OWID_WRL,2100,-0.11,
World,OWID_WRL,1950,,1.73
World,OWID_WRL,1960,,1.57
World,OWID_WRL,1980,,1.79
World,OWID_WRL,2000,,1.33
World,OWID_WRL,2020,,0.92
