Entity,Code,Year,Difference in the value of goods exported to and imported by the US (DOTS (2017))
Australia,AUS,2016,-2808134800.0
Austria,AUT,2016,1355224600.0
Belgium,BEL,2016,-6032867200.0
Canada,CAN,2016,-19522250000.0
Chile,CHL,2016,349013670.0
China,CHN,2016,73098563000.0
Czechia,CZE,2016,858220700.0
Denmark,DNK,2016,178295410.0
Finland,FIN,2016,182675290.0
France,FRA,2016,10291586000.0
Germany,DEU,2016,-4309414100.0
Greece,GRC,2016,17776120.0
Hungary,HUN,2016,2383036100.0
Ireland,IRL,2016,10351930000.0
Israel,ISR,2016,4608904300.0
Italy,ITA,2016,4397261700.0
Japan,JPN,2016,1773210900.0
Mexico,MEX,2016,-8424687500.0
Netherlands,NLD,2016,-4231183600.000001
New Zealand,NZL,2016,389123050.0
Norway,NOR,2016,671624020.0
Poland,POL,2016,1174781700.0
Portugal,PRT,2016,477077150.0
Slovakia,SVK,2016,680727780.0
Slovenia,SVN,2016,167898500.0
South Korea,KOR,2016,3178429700.0
Spain,ESP,2016,892384770.0
Sweden,SWE,2016,-480167970.0
Switzerland,CHE,2016,-333472660.0
Turkey,TUR,2016,1440954100.0
United Kingdom,GBR,2016,-6359449200.0
