Entity,Code,Year,"Prevalence of obesity among adults, BMI >= 30 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years"
Australia,AUS,1975,10.5
Australia,AUS,1980,11.8
Australia,AUS,1985,13.4
Australia,AUS,1990,15.4
Australia,AUS,1995,18.0
Australia,AUS,2000,21.0
Australia,AUS,2005,24.0
Australia,AUS,2010,26.7
Australia,AUS,2016,30.4
Brazil,BRA,1975,4.5
Brazil,BRA,1980,5.7
Brazil,BRA,1985,7.2
Brazil,BRA,1990,9.1
Brazil,BRA,1995,11.2
Brazil,BRA,2000,13.5
Brazil,BRA,2005,16.0
Brazil,BRA,2010,18.8
Brazil,BRA,2016,22.3
India,IND,1975,0.3
India,IND,1980,0.4
India,IND,1985,0.6
India,IND,1990,0.8
India,IND,1995,1.1
India,IND,2000,1.5
India,IND,2005,2.0
India,IND,2010,2.7
India,IND,2016,3.8
Nigeria,NGA,1975,0.8
Nigeria,NGA,1980,1.0
Nigeria,NGA,1985,1.4
Nigeria,NGA,1990,2.0
Nigeria,NGA,1995,2.6
Nigeria,NGA,2000,3.4
Nigeria,NGA,2005,4.4
Nigeria,NGA,2010,5.8
Nigeria,NGA,2016,7.8
United Kingdom,GBR,1975,10.0
United Kingdom,GBR,1980,11.2
United Kingdom,GBR,1985,12.7
United Kingdom,GBR,1990,14.5
United Kingdom,GBR,1995,16.9
United Kingdom,GBR,2000,19.8
United Kingdom,GBR,2005,22.7
United Kingdom,GBR,2010,25.7
United Kingdom,GBR,2016,29.5
United States,USA,1975,11.7
United States,USA,1980,13.5
United States,USA,1985,15.8
United States,USA,1990,18.7
United States,USA,1995,22.3
United States,USA,2000,26.1
United States,USA,2005,29.9
United States,USA,2010,33.4
United States,USA,2016,37.3
