Entity,Code,Year,Number of ongoing conflicts per state-pair - Hostility level: Threat to use force,Number of ongoing conflicts per state-pair - Hostility level: Display of force,Number of ongoing conflicts per state-pair - Hostility level: Use of force,Number of ongoing conflicts per state-pair - Hostility level: War
World,OWID_WRL,1816,0.0,0.0,0.0039525693,0.0
World,OWID_WRL,1824,0.0,0.0,0.0,0.0
World,OWID_WRL,1832,0.0,0.0,0.0024630541,0.0
World,OWID_WRL,1840,0.0,0.002016129,0.0,0.0
World,OWID_WRL,1848,0.0,0.0013495276,0.0,0.004048583
World,OWID_WRL,1856,0.0022148394,0.003322259,0.0,0.0011074197
World,OWID_WRL,1864,0.0012195122,0.0024390244,0.004878049,0.0024390244
World,OWID_WRL,1872,0.0,0.003787879,0.0056818184,0.0
World,OWID_WRL,1880,0.0,0.0045045046,0.0015015015,0.0015015015
World,OWID_WRL,1888,0.0,0.0028449502,0.0042674253,0.0
World,OWID_WRL,1896,0.0,0.004048583,0.0,0.0
World,OWID_WRL,1904,0.0,0.0021141649,0.0042283298,0.0010570824
World,OWID_WRL,1912,0.0,0.004040404,0.004040404,0.002020202
World,OWID_WRL,1920,0.0,0.002337814,0.0029222677,0.004091175
World,OWID_WRL,1928,0.0,0.0,0.001984127,0.0
World,OWID_WRL,1936,0.0,0.00046620046,0.0013986015,0.00093240093
World,OWID_WRL,1944,0.0,0.0,0.001814882,0.00060496066
World,OWID_WRL,1952,0.0003417635,0.000683527,0.0051264525,0.0003417635
World,OWID_WRL,1960,0.0003526715,0.0010580145,0.0044083935,0.0
World,OWID_WRL,1968,0.00011392117,0.0003417635,0.0014809752,0.0003417635
World,OWID_WRL,1976,0.00017660044,0.0005298013,0.0019426049,8.830022e-05
World,OWID_WRL,1984,0.0,0.00023291925,0.0023291926,0.00023291925
World,OWID_WRL,1992,0.0,0.00012277471,0.001043585,0.00012277471
World,OWID_WRL,2000,5.5111603e-05,0.0007715624,0.00088178564,0.000110223205
World,OWID_WRL,2014,5.2868094e-05,0.0007401533,0.0012688342,0.0
