Entity,Code,Year,"Human capital index (HCI), male (scale 0-1)","Human capital index (HCI), female (scale 0-1)",Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Asia,,2020,,,4663086623.0,
Bangladesh,BGD,2020,0.45144773,0.47759807,167420944.0,
China,CHN,2020,0.64664155,0.6591779,1424929792.0,
Estonia,EST,2020,0.74599147,0.81054634,1329449.0,
Ethiopia,ETH,2020,0.38149732,0.384157,117190920.0,
Europe,,2020,,,747462669.0,
Georgia,GEO,2020,0.5298634,0.6120482,3765912.0,
Germany,DEU,2020,0.73617184,0.76758593,83328992.0,
Greece,GRC,2020,0.66855943,0.7125776,10512232.0,
Guyana,GUY,2020,0.4769754,0.5160984,797207.0,
Haiti,HTI,2020,0.43423086,0.4596461,11306804.0,
India,IND,2020,0.48725688,0.50049114,1396387072.0,
Indonesia,IDN,2020,0.52427924,0.55661255,271857984.0,
Iran,IRN,2020,0.57679945,0.61207694,87290192.0,
Iraq,IRQ,2020,0.39517543,0.4235051,42556988.0,
Italy,ITA,2020,0.718085,0.738016,59500576.0,
Kiribati,KIR,2020,0.45302388,0.5365633,126473.0,
Lithuania,LTU,2020,0.6599794,0.7564614,2820269.0,
Mexico,MEX,2020,0.5995448,0.6266667,125998296.0,
Niger,NER,2020,0.31788826,0.3133371,24333644.0,
Nigeria,NGA,2020,0.35542783,0.36600527,208327408.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Oman,OMN,2020,0.5781504,0.6477094,4543406.0,
Pakistan,PAK,2020,0.41104844,0.40117303,227196736.0,
Palestine,PSE,2020,0.55472296,0.60685676,5019407.0,
Peru,PER,2020,0.6057318,0.6048228,33304768.0,
Philippines,PHL,2020,0.49455908,0.5384727,112190984.0,
Russia,RUS,2020,0.6391081,0.7262886,145617328.0,
Singapore,SGP,2020,0.86920536,0.8898945,5909874.0,
Slovakia,SVK,2020,0.6402063,0.6912695,5456681.0,
South Africa,ZAF,2020,0.40608773,0.44556195,58801928.0,
South America,,2020,,,431530105.0,
Turkey,TUR,2020,0.64035195,0.6583737,84135432.0,
Ukraine,UKR,2020,0.5894801,0.6765417,43909664.0,
United Kingdom,GBR,2020,0.77454954,0.7913752,67059472.0,
United States,USA,2020,0.6842866,0.72041607,335942016.0,
