Entity,Code,Year,Historical and more recent literacy estimates,Combined - average years of education for 15-64 years male and female youth and adults,Population (historical estimates),Continent
Afghanistan,AFG,1870,,0.01,4101170.0,
Afghanistan,AFG,2020,,5.69,38972236.0,
Africa,,1870,,0.058289785,122079985.0,
Africa,,2020,,6.6818657,1360677453.0,
Algeria,DZA,1870,,0.1,3478884.0,
Algeria,DZA,2020,,8.18,43451668.0,
Asia,,1870,,0.040151983,811647336.0,
Asia,,2020,,8.571011,4663086623.0,
Belize,BLZ,1870,,0.4,25444.0,
Belize,BLZ,2020,,10.71,394931.0,
Brazil,BRA,1870,,0.14,9839950.0,
Brazil,BRA,2020,,8.0,213196304.0,
China,CHN,1870,,0.01,358200976.0,
China,CHN,2020,97.15,8.99,1424929792.0,
Cuba,CUB,1870,,0.12,1356408.0,
Cuba,CUB,2020,,11.61,11300695.0,
Democratic Republic of Congo,COD,1870,,0.01,8828887.0,
Democratic Republic of Congo,COD,2020,,4.85,92853168.0,
Egypt,EGY,1870,,0.02,6885909.0,
Egypt,EGY,2020,,8.01,107465128.0,
Europe,,1870,,1.1943841,320326613.0,
Europe,,2020,,11.9022875,747462669.0,
Fiji,FJI,1870,,0.01,132535.0,
Fiji,FJI,2020,,11.52,920430.0,
Guatemala,GTM,1870,,0.22,1093998.0,
Guatemala,GTM,2020,,6.26,17362716.0,
India,IND,1870,,0.03,251115205.0,
India,IND,2020,,7.8,1396387072.0,
Iran,IRN,1870,,0.01,8446047.0,
Iran,IRN,2020,,9.8,87290192.0,
Iraq,IRQ,1870,,0.01,1611120.0,
Iraq,IRQ,2020,,8.27,42556988.0,
Jamaica,JAM,1870,,0.67,502105.0,
Jamaica,JAM,2020,,10.1,2820438.0,
Kuwait,KWT,1870,,0.01,82094.0,
Kuwait,KWT,2020,96.45754,6.62,4360451.0,
Laos,LAO,1870,,,741854.0,
Laos,LAO,2020,,6.05,7319397.0,
Liberia,LBR,1870,,0.05,380309.0,
Liberia,LBR,2020,,5.8,5087591.0,
Libya,LBY,1870,,0.01,337064.0,
Libya,LBY,2020,,9.57,6653946.0,
Mali,MLI,1870,,0.01,1756489.0,
Mali,MLI,2020,30.76141,3.55,21224042.0,
Mexico,MEX,1870,,0.38,9178007.0,
Mexico,MEX,2020,95.24785,10.18,125998296.0,
Morocco,MAR,1870,,0.01,3473255.0,
Morocco,MAR,2020,,6.83,36688768.0,
Myanmar,MMR,1870,,0.05,4089958.0,
Myanmar,MMR,2020,,6.48,53423200.0,
Nepal,NPL,1870,,0.01,4636798.0,
Nepal,NPL,2020,,6.19,29348626.0,
Nicaragua,NIC,1870,,0.16,359284.0,
Nicaragua,NIC,2020,,7.76,6755900.0,
Niger,NER,1870,,0.01,1095798.0,
Niger,NER,2020,,3.04,24333644.0,
North America,,1870,,3.14222,60400931.0,
North America,,2020,,11.858304,594263186.0,
Oceania,,1870,,1.8641996,3308061.0,
Oceania,,2020,,10.736105,43933757.0,
Pakistan,PAK,1870,,0.01,15878377.0,
Pakistan,PAK,2020,,6.41,227196736.0,
Qatar,QAT,1870,,,13875.0,
Qatar,QAT,2020,,8.52,2760390.0,
Senegal,SEN,1870,,0.01,1065648.0,
Senegal,SEN,2020,,4.4,16436120.0,
South America,,1870,,0.18059528,23934686.0,
South America,,2020,,8.909957,431530105.0,
Sudan,SDN,1870,,0.01,4882759.0,
Sudan,SDN,2020,,4.38,44440484.0,
Syria,SYR,1870,,0.01,1584954.0,
Syria,SYR,2020,,7.92,20772602.0,
Togo,TGO,1870,,0.01,581006.0,
Togo,TGO,2020,,7.68,8442583.0,
United States,USA,1870,80.0,4.26,39902173.0,
United States,USA,2020,,13.32,335942016.0,
Yemen,YEM,1870,,0.01,2822786.0,
Yemen,YEM,2020,,5.56,32284044.0,
