Entity,Code,Year,"Primary completion rate, total (% of relevant age group)"
Aruba,ABW,2000,97.14286
Aruba,ABW,2010,94.7861
Germany,DEU,2000,104.34692
Germany,DEU,2010,102.01535
Grenada,GRD,2010,123.12296
Latin America and Caribbean (WB),,1970,79.48904
Latin America and Caribbean (WB),,1980,87.84963
Latin America and Caribbean (WB),,1990,92.00329
Latin America and Caribbean (WB),,2000,97.79399
Latin America and Caribbean (WB),,2010,99.83502
Montenegro,MNE,2021,101.11413
Panama,PAN,1970,64.33581
Panama,PAN,1980,85.8402
Panama,PAN,2000,92.05299
Panama,PAN,2010,93.9422
