Entity,Code,Year,regelect_vdem_owid,regelect_vdem_low_owid,regelect_vdem_high_owid
Argentina,ARG,1789,0.009,0.0,0.023
Argentina,ARG,1850,0.484,0.471,0.5
Argentina,ARG,1900,0.967,0.941,0.999
Argentina,ARG,1950,0.975,0.951,0.999
Argentina,ARG,2000,0.992,0.984,0.999
Argentina,ARG,2022,0.945,0.919,0.992
Australia,AUS,1950,0.964,0.942,0.999
Australia,AUS,2000,0.964,0.942,0.999
Australia,AUS,2022,0.964,0.942,0.999
Botswana,BWA,1900,0.0,0.0,0.0
Botswana,BWA,1950,0.0,0.0,0.0
Botswana,BWA,2000,0.0,0.0,0.0
Botswana,BWA,2022,0.0,0.0,0.0
China,CHN,1789,0.013,0.0,0.022
China,CHN,1850,0.013,0.0,0.022
China,CHN,1900,0.013,0.0,0.022
China,CHN,1950,0.004,0.0,0.008
China,CHN,2000,0.035,0.014,0.054
China,CHN,2022,0.033,0.002,0.048
