Entity,Code,Year,"Deaths that are from communicable, maternal, neonatal, and nutritional diseases, in both sexes aged all ages","Deaths that are from injuries, in both sexes aged all ages","Deaths that are from non-communicable diseases, in both sexes aged all ages"
High Income (WB),,1990,497888.6,627827.6,7382826.5
High Income (WB),,1995,540261.44,624253.6,7678877.5
High Income (WB),,2000,492180.78,598345.94,7847575.5
High Income (WB),,2005,483719.78,604579.25,8011617.0
High Income (WB),,2010,492476.38,601062.9,8278412.5
High Income (WB),,2015,535141.3,616022.44,8910906.0
High Income (WB),,2019,572606.8,627144.6,9639032.0
Low Income (WB),,1990,3313198.5,335460.03,1188784.6
Low Income (WB),,1995,3784452.0,311876.8,1297130.9
Low Income (WB),,2000,3945636.2,377479.94,1386303.5
Low Income (WB),,2005,3646203.0,334681.47,1507540.4
Low Income (WB),,2010,3218431.0,569620.4,1650818.4
Low Income (WB),,2015,2792921.0,396845.7,1836982.4
Low Income (WB),,2019,2534652.0,401285.44,2005613.2
Lower Middle Income (WB),,1990,9618888.0,1460616.6,7225590.0
Lower Middle Income (WB),,1995,9184961.0,1537300.2,8063886.5
Lower Middle Income (WB),,2000,8928556.0,1643260.0,8985897.0
Lower Middle Income (WB),,2005,8327801.0,1705713.6,9862746.0
Lower Middle Income (WB),,2010,7400446.0,1681460.0,10945241.0
Lower Middle Income (WB),,2015,6460105.0,1759688.5,12439768.0
Lower Middle Income (WB),,2019,5789884.5,1748105.4,13678721.0
Middle Income (WB),,1990,2558731.5,1750379.4,10658779.0
Middle Income (WB),,1995,2211276.5,1876006.1,11841777.0
Middle Income (WB),,2000,1937658.0,1819751.9,12726822.0
Middle Income (WB),,2005,1776942.9,1873940.0,13942431.0
Middle Income (WB),,2010,1509944.9,1735434.9,14592027.0
Middle Income (WB),,2015,1371755.1,1590898.8,15357646.0
Middle Income (WB),,2019,1290258.2,1520243.2,16686957.0
