Entity,Code,Year,Deforestation as share of forest area
Belize,BLZ,1990,0.8793585120278995
Belize,BLZ,2000,0.4652915781539094
Belize,BLZ,2010,0.8416044387267408
Belize,BLZ,2015,0.8373160868227756
Costa Rica,CRI,1990,0.3367269725527963
Costa Rica,CRI,2000,0.0927474958176129
Costa Rica,CRI,2010,0.0
Costa Rica,CRI,2015,0.0
Djibouti,DJI,1990,0.0
Djibouti,DJI,2000,0.0
Djibouti,DJI,2010,0.0
Djibouti,DJI,2015,2.8571428571428568
Paraguay,PRY,1990,0.9998488991954078
Paraguay,PRY,2000,1.48810546437511
Paraguay,PRY,2010,2.1167376333723555
Paraguay,PRY,2015,1.596325263130224
Venezuela,VEN,1990,0.5840349056241111
Venezuela,VEN,2000,0.3743362291713292
Venezuela,VEN,2010,0.3836859277970739
Venezuela,VEN,2015,0.2319688109161793
