Entity,Code,Year,Richest decile - Share (Net national wealth) (Estimated)
Cuba,CUB,1995,60.92
Cuba,CUB,2000,60.91
Cuba,CUB,2005,59.38
Cuba,CUB,2010,58.780003
Cuba,CUB,2015,57.82
Cuba,CUB,2021,57.58
Kyrgyzstan,KGZ,1995,57.410004
Kyrgyzstan,KGZ,2000,57.39
Kyrgyzstan,KGZ,2005,58.170002
Kyrgyzstan,KGZ,2010,57.57
Kyrgyzstan,KGZ,2015,57.66
Kyrgyzstan,KGZ,2021,57.440002
Niger,NER,1995,65.100006
Niger,NER,2000,70.65
Niger,NER,2005,74.43
Niger,NER,2010,59.179996
Niger,NER,2015,58.679996
Niger,NER,2021,58.679996
Slovakia,SVK,1995,42.010002
Slovakia,SVK,2000,42.02
Slovakia,SVK,2005,42.1
Slovakia,SVK,2010,42.11
Slovakia,SVK,2015,48.5
Slovakia,SVK,2021,49.72
South & South-East Asia (WID),,1995,62.97
South & South-East Asia (WID),,2000,62.300003
South & South-East Asia (WID),,2005,61.589996
South & South-East Asia (WID),,2010,65.48
South & South-East Asia (WID),,2015,67.85
South & South-East Asia (WID),,2021,67.38
Tunisia,TUN,1995,62.65
Tunisia,TUN,2000,62.089996
Tunisia,TUN,2005,59.600002
Tunisia,TUN,2010,58.45
Tunisia,TUN,2015,57.95
Tunisia,TUN,2021,57.96
Vietnam,VNM,1995,59.63
Vietnam,VNM,2000,60.000004
Vietnam,VNM,2005,59.100002
Vietnam,VNM,2010,60.55
Vietnam,VNM,2015,58.639996
Vietnam,VNM,2021,59.649998
