Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Substance use disorders - Sex: Both - Age: All Ages (Percent)
Argentina,ARG,1990,1.39
Argentina,ARG,1995,1.55
Argentina,ARG,2000,1.51
Argentina,ARG,2005,1.52
Argentina,ARG,2010,1.48
Argentina,ARG,2015,1.49
Argentina,ARG,2019,1.52
Iceland,ISL,1990,2.23
Iceland,ISL,1995,2.27
Iceland,ISL,2000,2.52
Iceland,ISL,2005,2.63
Iceland,ISL,2010,2.82
Iceland,ISL,2015,2.99
Iceland,ISL,2019,3.14
Jamaica,JAM,1990,0.87
Jamaica,JAM,1995,0.91
Jamaica,JAM,2000,0.93
Jamaica,JAM,2005,1.03
Jamaica,JAM,2010,1.01
Jamaica,JAM,2015,0.96
Jamaica,JAM,2019,0.96
Marshall Islands,MHL,1990,0.55
Marshall Islands,MHL,1995,0.61
Marshall Islands,MHL,2000,0.62
Marshall Islands,MHL,2005,0.67
Marshall Islands,MHL,2010,0.72
Marshall Islands,MHL,2015,0.76
Marshall Islands,MHL,2019,0.78
San Marino,SMR,1990,1.64
San Marino,SMR,1995,1.71
San Marino,SMR,2000,1.73
San Marino,SMR,2005,1.68
San Marino,SMR,2010,1.66
San Marino,SMR,2015,1.59
San Marino,SMR,2019,1.57
Taiwan,TWN,1990,1.25
Taiwan,TWN,1995,1.19
Taiwan,TWN,2000,1.25
Taiwan,TWN,2005,1.36
Taiwan,TWN,2010,1.46
Taiwan,TWN,2015,1.55
Taiwan,TWN,2019,1.55
United States Virgin Islands,VIR,1990,2.13
United States Virgin Islands,VIR,1995,2.23
United States Virgin Islands,VIR,2000,2.39
United States Virgin Islands,VIR,2005,2.23
United States Virgin Islands,VIR,2010,2.2
United States Virgin Islands,VIR,2015,2.12
United States Virgin Islands,VIR,2019,2.0
