Entity,Code,Year,"Current number of cases of substance use disorders per 100 people, in males aged age-standardized","Current number of cases of substance use disorders per 100 people, in females aged age-standardized",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Albania,ALB,2019,2.2654452,1.9447142,2873883.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,2.2869883,0.68455386,165516224.0,
Belgium,BEL,2019,4.7698092,1.7791033,11510569.0,
Bhutan,BTN,2019,4.058298,1.0273528,767467.0,
Brazil,BRA,2019,5.6029325,2.0745466,211782880.0,
Canada,CAN,2019,5.188427,3.1025758,37522584.0,
China,CHN,2019,2.660405,0.93487555,1421864064.0,
Czechia,CZE,2019,3.8217936,2.8475094,10536876.0,
Denmark,DNK,2019,5.2458124,2.0438988,5795879.0,
Egypt,EGY,2019,0.84741014,0.5690159,105618672.0,
El Salvador,SLV,2019,6.890459,1.2409695,6280222.0,
Ethiopia,ETH,2019,4.8544197,0.87093425,114120592.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,4.0335226,1.7855552,83148144.0,
Greenland,GRL,2019,5.85169,4.011058,55955.0,
Guatemala,GTM,2019,5.878253,1.4482943,17106338.0,
Honduras,HND,2019,4.3911996,1.1227201,9958832.0,
Hungary,HUN,2019,3.2982054,2.4030437,9771799.0,
Indonesia,IDN,2019,1.2230343,0.6400981,269582880.0,
Ireland,IRL,2019,5.820925,2.824245,4896021.0,
Italy,ITA,2019,3.197158,1.576013,59727936.0,
Jamaica,JAM,2019,2.6061575,1.4564016,2813776.0,
Japan,JPN,2019,1.6319089,1.0826317,125791680.0,
Kazakhstan,KAZ,2019,6.558512,1.9741625,18754260.0,
Laos,LAO,2019,1.8789812,0.6779221,7212058.0,
Moldova,MDA,2019,3.5866446,1.5433652,3109496.0,
Mongolia,MNG,2019,7.490134,1.9152144,3232435.0,
Nepal,NPL,2019,2.7896316,0.4788785,28832500.0,
New Zealand,NZL,2019,6.018758,3.2890437,4959033.0,
North America,,2019,,,590497015.0,
OECD Countries,,2019,4.3319187,2.443297,,
Oceania,,2019,,,43278474.0,
Peru,PER,2019,2.018858,1.2753012,32824864.0,
Poland,POL,2019,4.687272,2.7692385,38493600.0,
Romania,ROU,2019,2.6383467,2.0550668,19524212.0,
Rwanda,RWA,2019,5.2750382,1.4694408,12835029.0,
Scotland,,2019,8.186229,3.8996825,,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,4.3901997,1.6790869,51803832.0,
United Kingdom,GBR,2019,7.121026,2.7329252,66778660.0,
United States,USA,2019,6.5227094,4.601958,334319680.0,
Wales,,2019,8.16923,3.0598886,,
Zimbabwe,ZWE,2019,3.6668525,1.008006,15354606.0,
