Entity,Code,Year,Cocoa beans | 00000661 || Yield | 005419 || tonnes per hectare
Ghana,GHA,1961,0.2364
Ghana,GHA,1970,0.2798
Ghana,GHA,1980,0.23099999
Ghana,GHA,1990,0.42319998
Ghana,GHA,2000,0.2911
Ghana,GHA,2010,0.39499998
Ghana,GHA,2021,0.5639
Sao Tome and Principe,STP,1961,0.2935
Sao Tome and Principe,STP,1970,0.29389998
Sao Tome and Principe,STP,1980,0.1727
Sao Tome and Principe,STP,1990,0.1158
Sao Tome and Principe,STP,2000,0.1424
Sao Tome and Principe,STP,2010,0.122099996
Sao Tome and Principe,STP,2021,0.0975
