Entity,Code,Year,Percentage of children (2–14) who experience any violent discipline (UNICEF Global Databases (2016)),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2015,,2108.714,33753500.0,Asia
Africa,,2015,,,1201108186.0,
Algeria,DZA,2015,,11751.634,39543148.0,Africa
Argentina,ARG,2015,,23933.887,43257064.0,South America
Asia,,2015,,,4458250376.0,
Azerbaijan,AZE,2015,,14852.611,9863485.0,Asia
Bangladesh,BGD,2015,,4337.3857,157830000.0,Asia
Barbados,BRB,2015,,15789.451,278095.0,North America
Belarus,BLR,2015,,18362.746,9700609.0,Europe
Benin,BEN,2015,,2849.8206,10932791.0,Africa
Bosnia and Herzegovina,BIH,2015,,12292.545,3524328.0,Europe
Costa Rica,CRI,2015,,18956.191,4895241.0,North America
Egypt,EGY,2015,,9999.19,97723792.0,Africa
El Salvador,SLV,2015,,8266.723,6231072.0,North America
Eswatini,SWZ,2015,,8088.7344,1133941.0,Africa
Europe,,2015,,,743294457.0,
Fiji,FJI,2015,,11903.502,917209.0,Oceania
Guyana,GUY,2015,,11446.764,755043.0,South America
Haiti,HTI,2015,,3141.0469,10563762.0,North America
Iraq,IRQ,2015,,9371.214,37757812.0,Asia
Jamaica,JAM,2015,,9800.507,2794455.0,North America
Kazakhstan,KAZ,2015,,24290.418,17835908.0,Asia
Kyrgyzstan,KGZ,2015,,4805.141,5914985.0,Asia
Laos,LAO,2015,,6499.0728,6787420.0,Asia
Lebanon,LBN,2015,,16611.72,6398941.0,Asia
Liberia,LBR,2015,,1581.055,4612330.0,Africa
Mongolia,MNG,2015,,11134.802,2964756.0,Asia
Montenegro,MNE,2015,,18266.879,633969.0,Europe
Niger,NER,2015,,1124.41,20128132.0,Africa
Nigeria,NGA,2015,,5429.0996,183995776.0,Africa
North America,,2015,,,570726015.0,
North Macedonia,MKD,2015,,15141.992,2107965.0,Europe
Oceania,,2015,,,40403644.0,
Panama,PAN,2015,,28512.926,3957102.0,North America
Sao Tome and Principe,STP,2015,,3762.5698,201142.0,Africa
Serbia,SRB,2015,,15581.014,7519501.0,Europe
South America,,2015,,,413134461.0,
Sudan,SDN,2015,,4718.919,38171172.0,Africa
Suriname,SUR,2015,,18768.795,575478.0,South America
Trinidad and Tobago,TTO,2015,,29876.98,1460180.0,North America
Ukraine,UKR,2015,,11216.118,44982568.0,Europe
Uruguay,URY,2015,,22486.428,3402820.0,South America
Vietnam,VNM,2015,,8091.0903,92191400.0,Asia
Zimbabwe,ZWE,2015,,2313.8787,14154937.0,Africa
