Entity,Code,Year,Share of plastic waste exports via all modes of transport
Chile,CHL,1995,0.034901522
Chile,CHL,2005,0.03728446
Chile,CHL,2010,0.0883701
Chile,CHL,2015,0.0
Chile,CHL,2020,0.2190744
Chile,CHL,2022,0.22442208
China,CHN,1995,0.50476843
China,CHN,2005,0.4753146
China,CHN,2010,0.1693258
China,CHN,2015,0.22124358
China,CHN,2020,0.0
China,CHN,2022,1.2638589
France,FRA,1995,3.843053
France,FRA,2005,4.3474956
France,FRA,2010,3.141981
France,FRA,2015,3.4129746
France,FRA,2020,7.142192
France,FRA,2022,8.178938
Germany,DEU,1995,7.5781403
Germany,DEU,2005,6.2784834
Germany,DEU,2010,9.835127
Germany,DEU,2015,10.02465
Germany,DEU,2020,0.0
Germany,DEU,2022,0.0
Norway,NOR,1995,0.20759465
Norway,NOR,2005,0.27561295
Norway,NOR,2010,0.21973231
Norway,NOR,2015,0.39712223
Norway,NOR,2020,1.5273676
Norway,NOR,2022,1.638583
Switzerland,CHE,1988,6.7033134
Switzerland,CHE,1995,1.1438915
Switzerland,CHE,2005,0.0
Switzerland,CHE,2010,0.61756426
Switzerland,CHE,2015,0.0
Switzerland,CHE,2020,0.0
Switzerland,CHE,2022,2.0849776
