Entity,Code,Year,Coefficient of Variation (CV) of caloric intake
Bangladesh,BGD,2000,0.27
Bangladesh,BGD,2005,0.27
Bangladesh,BGD,2010,0.26
Bangladesh,BGD,2015,0.26
Bangladesh,BGD,2020,0.25
Brazil,BRA,2000,0.31
Brazil,BRA,2005,0.29
Brazil,BRA,2010,0.27
Brazil,BRA,2015,0.25
Brazil,BRA,2020,0.27
Honduras,HND,2000,0.31
Honduras,HND,2005,0.31
Honduras,HND,2010,0.31
Honduras,HND,2015,0.31
Honduras,HND,2020,0.31
Mexico,MEX,2000,0.27
Mexico,MEX,2005,0.3
Mexico,MEX,2010,0.29
Mexico,MEX,2015,0.29
Mexico,MEX,2020,0.34
Rwanda,RWA,2000,0.31
Rwanda,RWA,2005,0.32
Rwanda,RWA,2010,0.33
Rwanda,RWA,2015,0.33
Rwanda,RWA,2020,0.35
Vanuatu,VUT,2000,0.28
Vanuatu,VUT,2005,0.28
Vanuatu,VUT,2010,0.28
Vanuatu,VUT,2015,0.28
Vanuatu,VUT,2020,0.28
