Entity,Code,Year,Share of total deaths in both sexes aged all ages years that are from ill-defined diseases
Canada,CAN,2019,2.8417852
Egypt,EGY,2019,10.377336
Greece,GRC,2020,7.405938
Greece,GRC,2019,8.344532
Malaysia,MYS,2020,5.4509645
Malaysia,MYS,2019,5.969917
Philippines,PHL,2019,4.391261
Poland,POL,2020,10.410491
Poland,POL,2019,11.070296
South Korea,KOR,2020,11.112715
South Korea,KOR,2019,9.541188
Spain,ESP,2021,2.0160003
Spain,ESP,2020,1.9077476
Spain,ESP,2019,2.4267797
Ukraine,UKR,2019,4.246499
United States,USA,2020,1.4404818
United States,USA,2019,1.6273779
Uruguay,URY,2020,12.222324
Uruguay,URY,2019,11.187405
