Entity,Code,Year,"Deaths that are from all causes attributed to drug use per 100,000 people, in both sexes aged age-standardized"
Bulgaria,BGR,1990,3.2830842
Bulgaria,BGR,1995,4.049914
Bulgaria,BGR,2000,4.3587604
Bulgaria,BGR,2005,5.491504
Bulgaria,BGR,2010,5.5599675
Bulgaria,BGR,2015,5.427839
Bulgaria,BGR,2019,5.6906023
Myanmar,MMR,1990,8.34504
Myanmar,MMR,1995,9.794443
Myanmar,MMR,2000,12.433526
Myanmar,MMR,2005,14.871776
Myanmar,MMR,2010,14.186037
Myanmar,MMR,2015,12.415623
Myanmar,MMR,2019,10.58042
Somalia,SOM,1990,0.83218575
Somalia,SOM,1995,0.9627282
Somalia,SOM,2000,1.2941424
Somalia,SOM,2005,1.5102895
Somalia,SOM,2010,1.509223
Somalia,SOM,2015,1.4558802
Somalia,SOM,2019,1.4503319
