Entity,Code,Year,Learning-Adjusted Years of School,Corruption Perception Index - Transparency International (2018),Population (historical estimates),Continent
Afghanistan,AFG,2020,5.0528383,,38972236.0,
Africa,,2020,,,1360677453.0,
Algeria,DZA,2020,7.0915527,,43451668.0,
Asia,,2020,,,4663086623.0,
Azerbaijan,AZE,2020,8.281513,,10284952.0,
Bangladesh,BGD,2020,5.989421,,167420944.0,
Benin,BEN,2020,5.6664166,,12643121.0,
Bhutan,BTN,2020,6.3267903,,772512.0,
Botswana,BWA,2020,5.0830455,,2546404.0,
Brunei,BRN,2020,9.218924,,441736.0,
Burkina Faso,BFA,2020,4.5330615,,21522632.0,
Cambodia,KHM,2020,6.8439803,,16396864.0,
Canada,CAN,2020,11.724046,,37888704.0,
Chad,TCD,2020,2.830429,,16644707.0,
Chile,CHL,2020,9.40743,,19300318.0,
China,CHN,2020,9.270027,,1424929792.0,
Costa Rica,CRI,2020,8.993311,,5123107.0,
Egypt,EGY,2020,6.5293627,,107465128.0,
El Salvador,SLV,2020,7.6372886,,6292734.0,
Estonia,EST,2020,11.719313,,1329449.0,
Ethiopia,ETH,2020,4.3491125,,117190920.0,
Europe,,2020,,,747462669.0,
Georgia,GEO,2020,8.273992,,3765912.0,
Germany,DEU,2020,11.03309,,83328992.0,
Greece,GRC,2020,9.964251,,10512232.0,
Haiti,HTI,2020,6.1498604,,11306804.0,
Hungary,HUN,2020,10.271568,,9750571.0,
India,IND,2020,7.1021705,,1396387072.0,
Indonesia,IDN,2020,7.8277683,,271857984.0,
Iran,IRN,2020,8.192462,,87290192.0,
Italy,ITA,2020,10.451879,,59500576.0,
Japan,JPN,2020,11.735149,,125244760.0,
Jordan,JOR,2020,7.6661263,,10928723.0,
Liberia,LBR,2020,2.2065024,,5087591.0,
Luxembourg,LUX,2020,9.795577,,630401.0,
Malaysia,MYS,2020,8.889285,,33199988.0,
Mexico,MEX,2020,8.824254,,125998296.0,
Moldova,MDA,2020,8.288821,,3084848.0,
Morocco,MAR,2020,6.3176813,,36688768.0,
Myanmar,MMR,2020,6.787967,,53423200.0,
Namibia,NAM,2020,6.106065,,2489099.0,
Niger,NER,2020,2.682462,,24333644.0,
Nigeria,NGA,2020,5.0383425,,208327408.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Oman,OMN,2020,8.644991,,4543406.0,
Pakistan,PAK,2020,5.079235,,227196736.0,
Poland,POL,2020,11.374183,,38428368.0,
Portugal,PRT,2020,11.310053,,10298186.0,
Qatar,QAT,2020,8.77822,,2760390.0,
Romania,ROU,2020,8.369189,,19442040.0,
Russia,RUS,2020,10.898087,,145617328.0,
Rwanda,RWA,2020,3.9257712,,13146367.0,
Saint Vincent and the Grenadines,VCT,2020,7.71073,,104644.0,
Saudi Arabia,SAU,2020,7.8881774,,35997108.0,
Senegal,SEN,2020,4.838319,,16436120.0,
Serbia,SRB,2020,9.752607,,7358010.0,
Singapore,SGP,2020,12.81329,,5909874.0,
Slovakia,SVK,2020,9.799783,,5456681.0,
South Africa,ZAF,2020,5.603404,,58801928.0,
South America,,2020,,,431530105.0,
South Korea,KOR,2020,11.684028,,51844688.0,
Spain,ESP,2020,10.514696,,47363808.0,
Sudan,SDN,2020,4.301438,,44440484.0,
Tajikistan,TJK,2020,6.785475,,9543211.0,
Thailand,THA,2020,8.68309,,71475664.0,
Turkey,TUR,2020,9.227495,,84135432.0,
Uganda,UGA,2020,4.335872,,44404608.0,
Ukraine,UKR,2020,9.874516,,43909664.0,
United Arab Emirates,ARE,2020,9.645997,,9287286.0,
United States,USA,2020,10.55677,,335942016.0,
Uruguay,URY,2020,8.551203,,3429087.0,
Vietnam,VNM,2020,10.680542,,96648680.0,
