Entity,Code,Year,Time spent in employment (Eurostat),Continent,Population (historical estimates)
Belgium,BEL,2000,149.20723,,10264351.0
Belgium,BEL,2010,131.0,,10877948.0
Estonia,EST,2000,222.46347,,1396881.0
Estonia,EST,2010,164.0,,1331535.0
Europe,,2000,,,727917165.0
Europe,,2010,,,737406197.0
Finland,FIN,2000,190.58824,,5176208.0
Finland,FIN,2010,144.10007,,5363279.0
France,FRA,2000,181.25174,,58665456.0
France,FRA,2010,147.0,,62444568.0
Germany,DEU,2000,161.67365,,81551680.0
Germany,DEU,2010,152.0,,81325088.0
Norway,NOR,2000,201.41963,,4491204.0
Norway,NOR,2010,172.11952,,4889747.0
Poland,POL,2000,186.64809,,38504432.0
Poland,POL,2010,173.0,,38597356.0
Spain,ESP,2000,193.26843,,40741652.0
Spain,ESP,2010,156.0,,46572776.0
United Kingdom,GBR,2000,197.23271,,58850044.0
United Kingdom,GBR,2010,156.89105,,62760048.0
