Entity,Code,Year,Political regime
Andorra,AND,1850,0
Andorra,AND,1900,1
Andorra,AND,1950,1
Andorra,AND,2000,7
Andorra,AND,2015,7
Andorra,AND,2022,7
Cambodia,KHM,1789,0
Cambodia,KHM,1850,0
Cambodia,KHM,1900,0
Cambodia,KHM,1950,0
Cambodia,KHM,2000,3
Cambodia,KHM,2015,3
Cambodia,KHM,2022,1
Romania,ROU,1789,0
Romania,ROU,1850,0
Romania,ROU,1900,2
Romania,ROU,1950,1
Romania,ROU,2000,6
Romania,ROU,2015,7
Romania,ROU,2022,7
Samoa,WSM,1950,2
Samoa,WSM,2000,7
Samoa,WSM,2015,7
Samoa,WSM,2022,7
Sicily,,1789,0
Sicily,,1850,2
