Entity,Code,Year,"Average annual rate of change cities with 300,000 inhabitants or more (estimates)","Average annual rate of change cities with 300,000 inhabitants or more (projections)"
United Kingdom,GBR,1955,0.46036553,
United Kingdom,GBR,1960,0.4604835,
United Kingdom,GBR,1970,-0.16353855,
United Kingdom,GBR,1980,-0.46836624,
United Kingdom,GBR,1990,0.6103444,
United Kingdom,GBR,2000,0.3860698,
United Kingdom,GBR,2010,0.62039655,
United Kingdom,GBR,2015,0.6710917,
United Kingdom,GBR,2020,,0.684797
United Kingdom,GBR,2030,,0.7016286
United Kingdom,GBR,2035,,0.629393
