Entity,Code,Year,"Current number of cases of alcohol use disorders per 100 people, in both sexes aged age-standardized","Current number of cases of drug use disorders per 100 people, in both sexes aged age-standardized",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Barbados,BRB,2019,1.2684659,1.0543708,280193.0,
Belarus,BLR,2019,2.5581026,0.8521594,9673971.0,
Brazil,BRA,2019,2.8260937,1.0621611,211782880.0,
Burundi,BDI,2019,1.4132348,0.33145463,11874838.0,
Canada,CAN,2019,1.782449,2.463676,37522584.0,
Chile,CHL,2019,2.6380215,1.1226323,19039484.0,
China,CHN,2019,1.1998028,0.6417744,1421864064.0,
Democratic Republic of Congo,COD,2019,1.0292376,0.34627777,89906896.0,
El Salvador,SLV,2019,3.5346274,0.3538202,6280222.0,
Ethiopia,ETH,2019,2.5967534,0.33601356,114120592.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,2.0256312,0.97461987,83148144.0,
Greenland,GRL,2019,3.5156672,1.6259668,55955.0,
Guatemala,GTM,2019,3.2515135,0.36688766,17106338.0,
High Income (WB),,2019,1.9035293,1.7486514,,
Indonesia,IDN,2019,0.48535806,0.46212736,269582880.0,
Iran,IRN,2019,0.30868253,0.7301928,86564208.0,
Ireland,IRL,2019,3.2081392,1.2269015,4896021.0,
Italy,ITA,2019,1.4942249,0.9406238,59727936.0,
Kazakhstan,KAZ,2019,3.5086203,0.7575427,18754260.0,
Mali,MLI,2019,0.46643013,0.2674575,20567430.0,
Malta,MLT,2019,1.7075622,0.88049465,503646.0,
Mongolia,MNG,2019,4.1884017,0.58871627,3232435.0,
Mozambique,MOZ,2019,1.6328181,0.36101925,30285602.0,
Namibia,NAM,2019,2.1204152,0.69511354,2446648.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Philippines,PHL,2019,0.78176624,0.5310304,110380800.0,
Poland,POL,2019,3.0085106,0.7855921,38493600.0,
Rwanda,RWA,2019,2.9130464,0.43124884,12835029.0,
Samoa,WSM,2019,0.6339229,0.9625263,211915.0,
Scotland,,2019,3.8689027,2.4128602,,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,2.3318272,0.80171895,51803832.0,
Spain,ESP,2019,1.5714443,1.6117269,47131372.0,
Switzerland,CHE,2019,2.2993455,1.3668492,8575593.0,
Tajikistan,TJK,2019,2.3260992,0.41837174,9337008.0,
United Kingdom,GBR,2019,3.1153753,1.9950365,66778660.0,
United States,USA,2019,2.3021796,3.419912,334319680.0,
Uruguay,URY,2019,1.6905078,1.235375,3428412.0,
Uzbekistan,UZB,2019,1.9114082,0.4494823,32976946.0,
Wales,,2019,4.1338153,1.7559811,,
