Entity,Code,Year,"Mean Non-HDL cholesterol, age-standardized - Sex: both sexes"
Canada,CAN,1980,4.2
Canada,CAN,1985,4.1
Canada,CAN,1990,4.1
Canada,CAN,1995,3.9
Canada,CAN,2000,3.8
Canada,CAN,2005,3.6
Canada,CAN,2010,3.4
Canada,CAN,2015,3.3
Canada,CAN,2018,3.2
Indonesia,IDN,1980,2.9
Indonesia,IDN,1985,2.9
Indonesia,IDN,1990,2.9
Indonesia,IDN,1995,2.9
Indonesia,IDN,2000,3.0
Indonesia,IDN,2005,3.2
Indonesia,IDN,2010,3.4
Indonesia,IDN,2015,3.5
Indonesia,IDN,2018,3.6
Japan,JPN,1980,3.5
Japan,JPN,1985,3.5
Japan,JPN,1990,3.5
Japan,JPN,1995,3.5
Japan,JPN,2000,3.5
Japan,JPN,2005,3.5
Japan,JPN,2010,3.5
Japan,JPN,2015,3.4
Japan,JPN,2018,3.4
Mexico,MEX,1980,3.9
Mexico,MEX,1985,3.9
Mexico,MEX,1990,3.9
Mexico,MEX,1995,3.9
Mexico,MEX,2000,3.9
Mexico,MEX,2005,3.9
Mexico,MEX,2010,3.8
Mexico,MEX,2015,3.8
Mexico,MEX,2018,3.8
United Kingdom,GBR,1980,4.5
United Kingdom,GBR,1985,4.5
United Kingdom,GBR,1990,4.4
United Kingdom,GBR,1995,4.2
United Kingdom,GBR,2000,4.1
United Kingdom,GBR,2005,3.9
United Kingdom,GBR,2010,3.7
United Kingdom,GBR,2015,3.4
United Kingdom,GBR,2018,3.3
