Entity,Code,Year,Census based on population register within 10 years
Belgium,BEL,1750,0
Belgium,BEL,1800,0
Belgium,BEL,1850,0
Belgium,BEL,1900,0
Belgium,BEL,1950,0
Belgium,BEL,2015,1
Guatemala,GTM,1750,0
Guatemala,GTM,1800,0
Guatemala,GTM,1850,0
Guatemala,GTM,1900,0
Guatemala,GTM,1950,0
Guatemala,GTM,2015,0
Haiti,HTI,1750,0
Haiti,HTI,1800,0
Haiti,HTI,1850,0
Haiti,HTI,1900,0
Haiti,HTI,1950,0
Haiti,HTI,2015,0
Sweden,SWE,1750,0
Sweden,SWE,1800,0
Sweden,SWE,1850,0
Sweden,SWE,1900,0
Sweden,SWE,1950,0
Sweden,SWE,2015,1
