Entity,Code,Year,Employment (total) per 1000 people
Macao,MAC,2005,52.391594
Macao,MAC,2010,183.1468
Macao,MAC,2015,236.65446
Mexico,MEX,1995,17.640099
Mexico,MEX,2000,18.476748
Mexico,MEX,2005,17.625946
Mexico,MEX,2010,18.466015
Mexico,MEX,2015,18.394655
New Zealand,NZL,2000,23.28244
New Zealand,NZL,2005,26.067186
New Zealand,NZL,2010,36.63308
New Zealand,NZL,2015,36.544315
New Zealand,NZL,2021,34.03688
Spain,ESP,2000,47.086063
Spain,ESP,2005,53.69111
Spain,ESP,2010,46.2082
Spain,ESP,2015,50.01578
Spain,ESP,2021,49.85582
