Entity,Code,Year,Mean female height (cm),Continent
East Asia and Pacific,,1896,149.7197,
East Asia and Pacific,,1914,152.0688,
East Asia and Pacific,,1996,157.6193,
Europe and Central Asia,,1896,153.1882,
Europe and Central Asia,,1914,156.1317,
Europe and Central Asia,,1996,164.1035,
Latin America and Caribbean,,1896,147.9171,
Latin America and Caribbean,,1914,151.2184,
Latin America and Caribbean,,1996,158.5122,
Middle East and North Africa,,1896,149.8032,
Middle East and North Africa,,1914,152.1936,
Middle East and North Africa,,1996,158.7462,
North America,,1896,155.5494,
North America,,1914,157.5404,
North America,,1996,162.7127,
South Asia,,1896,146.1869,
South Asia,,1914,148.2372,
South Asia,,1996,153.2966,
Sub-Saharan Africa,,1896,153.2441,
Sub-Saharan Africa,,1914,155.0884,
Sub-Saharan Africa,,1996,157.5269,
World,OWID_WRL,1896,151.1472983,
World,OWID_WRL,1914,153.6804738,
World,OWID_WRL,1996,159.4916899,
