Entity,Code,Year,Sorghum | 00000083 || Yield | 005419 || tonnes per hectare
Botswana,BWA,1961,0.3389
Botswana,BWA,1970,0.0583
Botswana,BWA,1980,0.2232
Botswana,BWA,1990,0.25
Botswana,BWA,2000,0.1573
Botswana,BWA,2010,0.5701
Botswana,BWA,2021,1.7106999
Central America (FAO),,1961,1.4504
Central America (FAO),,1970,2.4541
Central America (FAO),,1980,2.7816
Central America (FAO),,1990,3.0008
Central America (FAO),,2000,2.8809
Central America (FAO),,2010,3.6864
Central America (FAO),,2021,3.1985998
Eritrea,ERI,2000,0.4118
Eritrea,ERI,2010,0.25599998
Eritrea,ERI,2021,0.5185
Melanesia,OWID_MNS,1961,1.5503
Melanesia,OWID_MNS,1970,1.658
Melanesia,OWID_MNS,1980,1.6466999
Melanesia,OWID_MNS,1990,3.8298
Melanesia,OWID_MNS,2000,2.9866998
Melanesia,OWID_MNS,2010,3.8779
Melanesia,OWID_MNS,2021,4.2563
Micronesia (country),FSM,2000,2.4607
Micronesia (country),FSM,2010,2.4201
Micronesia (country),FSM,2021,2.4036999
Northern Africa (FAO),,1961,1.2092999
Northern Africa (FAO),,1970,1.0539
Northern Africa (FAO),,1980,0.8746
Northern Africa (FAO),,1990,0.6243
Northern Africa (FAO),,2000,0.7866
Northern Africa (FAO),,2010,0.57919997
Northern Africa (FAO),,2021,0.6073
Spain,ESP,1961,0.6874
Spain,ESP,1970,4.0319
Spain,ESP,1980,4.8595
Spain,ESP,1990,5.3234
Spain,ESP,2000,4.7033
Spain,ESP,2010,5.1205997
Spain,ESP,2021,3.8083
