Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: estimates,Daily caloric supply (OWID based on UN FAO & historical sources),Population (historical estimates),Continent
Africa,,2018,,2604.2539053543155,1295265310.0,
Albania,ALB,2018,79.2,3360.0,2877019.0,
Asia,,2018,,2833.014161173749,4588802751.0,
Belgium,BEL,2018,81.5,3769.0,11448598.0,
Bermuda,BMU,2018,80.8,,63591.0,
Brazil,BRA,2018,75.1,3301.0,210166592.0,
Cameroon,CMR,2018,61.2,2733.0,25076752.0,
Central African Republic,CAF,2018,54.4,1786.0,5094795.0,
Chad,TCD,2018,52.8,2115.0,15604213.0,
Cote d'Ivoire,CIV,2018,58.8,2778.0,25493990.0,
Croatia,HRV,2018,78.3,3074.0,4160488.0,
East Timor,TLS,2018,68.0,2287.0,1261850.0,
Ecuador,ECU,2018,77.1,2606.0,17015672.0,
Egypt,EGY,2018,71.4,3292.0,103740768.0,
Ethiopia,ETH,2018,65.4,2338.0,111129440.0,
Europe,,2018,,3416.92502049181,746577709.0,
French Polynesia,PYF,2018,82.8,2910.0,297615.0,
Grenada,GRD,2018,74.8,2402.0,121853.0,
High-income countries,,2018,81.0,3432.493331666893,1209044728.0,
Honduras,HND,2018,72.8,2673.0,9792854.0,
India,IND,2018,70.7,2533.0,1369003264.0,
Iran,IRN,2018,76.2,3087.0,85617560.0,
Japan,JPN,2018,84.3,2705.0,126255872.0,
Kiribati,KIR,2018,66.9,3078.0,122276.0,
Lesotho,LSO,2018,53.7,2323.0,2198030.0,
Low-income countries,,2018,62.9,2287.989760636764,643420791.0,
Lower-middle-income countries,,2018,68.7,2652.9443933217635,3281847839.0,
Madagascar,MDG,2018,65.3,1938.0,26846544.0,
Maldives,MDV,2018,80.0,2235.0,489773.0,
Mexico,MEX,2018,74.0,3157.0,124013864.0,
Moldova,MDA,2018,70.5,2383.0,3141839.0,
Morocco,MAR,2018,74.0,3412.0,35927516.0,
Mozambique,MOZ,2018,60.5,2103.0,29423882.0,
Myanmar,MMR,2018,66.5,2673.0,52666016.0,
Niger,NER,2018,62.5,2601.0,22577060.0,
Nigeria,NGA,2018,52.6,2572.0,198387616.0,
North America,,2018,,3471.125283377841,585864285.0,
Oceania,,2018,,3139.568055282105,42540030.0,
Oman,OMN,2018,78.0,2940.0,4601160.0,
Pakistan,PAK,2018,66.5,2486.0,219731488.0,
Peru,PER,2018,76.0,2775.0,32203946.0,
South Africa,ZAF,2018,65.7,2899.0,57339632.0,
South America,,2018,,3084.314112886859,424740741.0,
Spain,ESP,2018,83.1,3322.0,46792044.0,
Sweden,SWE,2018,82.5,3184.0,10162300.0,
Taiwan,TWN,2018,80.5,2983.0,23726186.0,
Thailand,THA,2018,78.7,2804.0,71127808.0,
Togo,TGO,2018,60.2,2443.0,8046680.0,
Turkey,TUR,2018,77.6,3711.0,82809304.0,
Uganda,UGA,2018,62.7,1981.0,41515400.0,
Upper-middle-income countries,,2018,76.3,3178.1244699319327,2516785800.0,
Venezuela,VEN,2018,72.0,2120.0,29825652.0,
World,OWID_WRL,2018,72.6,2928.399523487201,7683789824.0,
Yemen,YEM,2018,64.6,2154.0,30790514.0,
