Entity,Code,Year,Average scheduled minutes of work per day (Atack and Bateman (1992))
Agricultural Services,,1880,9.9500000199
All Industries,,1880,10.00000002
Blacksmithing,,1880,10.00000002
Chemicals,,1880,10.333333354
Clothing,,1880,9.9833333533
Construction,,1880,9.6833333527
Food,,1880,10.2833333539
Glass/Brick,,1880,9.8000000196
Machinery,,1880,9.7666666862
Paper,,1880,10.5500000211
Primary Metals,,1880,9.8833333531
Printing,,1880,9.8833333531
Textiles,,1880,10.2000000204
Tobacco,,1880,9.9666666866
Transportation Equipment,,1880,9.9166666865
