Entity,Code,Year,Population in urban agglomerations of more than 1 million
Australia,AUS,1960,5569845
Australia,AUS,1970,7834200
Australia,AUS,1980,9119366
Australia,AUS,1990,10443727
Australia,AUS,2000,11280427
Australia,AUS,2010,13050691
Australia,AUS,2021,15905338
Brazil,BRA,1960,15428334
Brazil,BRA,1970,26447534
Brazil,BRA,1980,41322855
Brazil,BRA,1990,53702146
Brazil,BRA,2000,67416308
Brazil,BRA,2010,78376893
Brazil,BRA,2021,90810377
Egypt,EGY,1960,5183989
Egypt,EGY,1970,7571695
Egypt,EGY,1980,9870223
Egypt,EGY,1990,12948048
Egypt,EGY,2000,17171193
Egypt,EGY,2010,21231585
Egypt,EGY,2021,26703851
Jordan,JOR,1960,218113
Jordan,JOR,1970,387843
Jordan,JOR,1980,635702
Jordan,JOR,1990,851491
Jordan,JOR,2000,1017228
Jordan,JOR,2010,1396832
Jordan,JOR,2021,2182151
United States,USA,1960,69978587
United States,USA,1970,85290017
United States,USA,1980,93466126
United States,USA,1990,105216000
United States,USA,2000,123562801
United States,USA,2010,137660260
United States,USA,2021,155166395
