Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Nuclear per capita (kWh - equivalent),Hydro per capita (kWh - equivalent),Wind per capita (kWh - equivalent),Solar per capita (kWh - equivalent),Other renewables per capita (kWh - equivalent)
Brazil,BRA,2022,755.4648,6458.953,1485.0991,169.1658,5171.7266,988.44006,364.78784,782.39667
China,CHN,2022,17224.002,5485.373,2634.8838,733.05255,2382.6736,1394.5349,782.0486,395.36432
France,FRA,2022,920.02167,12514.184,5937.455,11409.492,1798.6763,1533.2913,812.11273,485.3543
Germany,DEU,2022,7763.265,14191.266,9270.737,1041.2916,547.25854,3917.9648,1900.9261,1928.7665
India,IND,2022,3938.424,1969.8253,410.56332,81.54943,321.80368,128.86018,175.05972,91.7781
Japan,JPN,2022,11016.588,14811.619,8107.861,1044.9875,1575.0497,171.91045,2153.7854,1056.6537
South Africa,ZAF,2022,15365.821,4935.9043,761.0444,421.88177,134.94061,422.23355,269.88123,22.926283
Sweden,SWE,2022,1925.7087,13131.461,697.6394,12223.56,17240.004,8061.8945,650.3576,4034.4158
United Kingdom,GBR,2022,869.8455,10976.965,10662.307,1768.5579,205.28757,3095.785,537.59845,1676.3185
United States,USA,2022,8103.174,29683.652,26049.031,6006.1494,1992.6034,3384.8584,1588.9255,663.3536
World,OWID_WRL,2022,5624.2563,6641.867,4942.0093,840.40765,1416.8862,688.09125,432.37515,302.66782
