Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2021,4.0224977,1516.3057,40099460.0,
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,1.5731823,11039.806,44177964.0,
Argentina,ARG,2021,4.6226788,21527.195,45276788.0,
Asia,,2021,,,4693332132.0,
Azerbaijan,AZE,2021,1.9102119,14431.661,10312992.0,
Bahamas,BHS,2021,29.173424,30210.162,407920.0,
Barbados,BRB,2021,11.379821,13754.803,281204.0,
Belize,BLZ,2021,31.247578,8762.623,400037.0,
Bermuda,BMU,2021,10.905975,80271.13,64213.0,
Dominican Republic,DOM,2021,10.541584,18626.078,11117873.0,
Ecuador,ECU,2021,14.024255,10668.758,17797736.0,
Europe,,2021,,,746417727.0,
Germany,DEU,2021,0.83324784,53179.656,83408560.0,
Ghana,GHA,2021,1.8365651,5435.238,32833036.0,
Guatemala,GTM,2021,19.990364,8926.7,17608484.0,
Guyana,GUY,2021,16.28205,21925.188,804571.0,
Haiti,HTI,2021,13.007129,2870.145,11447575.0,
Honduras,HND,2021,38.245457,5572.177,10278346.0,
India,IND,2021,2.9362788,6592.042,1407563904.0,
Jamaica,JAM,2021,52.127274,9596.564,2827701.0,
Japan,JPN,2021,0.22870894,40784.383,124612528.0,
Kenya,KEN,2021,5.274913,4743.4863,53005616.0,
Malaysia,MYS,2021,0.72377706,26333.156,33573872.0,
Mexico,MEX,2021,28.175653,19086.105,126705136.0,
Morocco,MAR,2021,1.9311379,8058.397,37076588.0,
Myanmar,MMR,2021,28.437815,4032.6257,53798088.0,
Nicaragua,NIC,2021,11.006432,5638.748,6850546.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Panama,PAN,2021,12.639997,29037.945,4351264.0,
Paraguay,PRY,2021,7.8313804,13687.655,6703802.0,
Russia,RUS,2021,6.7993197,27960.102,145102752.0,
Saint Lucia,LCA,2021,38.96433,13045.955,179663.0,
Serbia,SRB,2021,1.0552616,19831.297,7296771.0,
South Africa,ZAF,2021,41.865726,13311.926,59392256.0,
South America,,2021,,,434254167.0,
Switzerland,CHE,2021,0.48323596,71032.84,8691409.0,
Turkey,TUR,2021,2.5195987,31466.56,84775408.0,
Uganda,UGA,2021,8.531467,2246.414,45853780.0,
Ukraine,UKR,2021,3.843201,12943.614,43531424.0,
United States,USA,2021,6.8074665,63669.71,336997632.0,
