Entity,Code,Year,Deaths - Sex: all - Age: all - Variant: estimates
Africa (UN),,1950,6062986
Africa (UN),,1960,6552895
Africa (UN),,1970,7384342
Africa (UN),,1980,7986043
Africa (UN),,1990,9278030
Africa (UN),,2000,10614270
Africa (UN),,2010,10652256
Africa (UN),,2021,12038022
Asia (UN),,1950,31626510
Asia (UN),,1960,37750030
Asia (UN),,1970,29273266
Asia (UN),,1980,26530844
Asia (UN),,1990,27124774
Asia (UN),,2000,27090732
Asia (UN),,2010,28900242
Asia (UN),,2021,38150400
Europe (UN),,1950,6473233
Europe (UN),,1960,5783828
Europe (UN),,1970,6602177
Europe (UN),,1980,7422720
Europe (UN),,1990,7681197
Europe (UN),,2000,8401888
Europe (UN),,2010,8128387
Europe (UN),,2021,9656398
Latin America and the Caribbean (UN),,1950,2925484
Latin America and the Caribbean (UN),,1960,2918475
Latin America and the Caribbean (UN),,1970,3053103
Latin America and the Caribbean (UN),,1980,3074936
Latin America and the Caribbean (UN),,1990,3026889
Latin America and the Caribbean (UN),,2000,3172244
Latin America and the Caribbean (UN),,2010,3694621
Latin America and the Caribbean (UN),,2021,5534706
Northern America (UN),,1950,1551914
Northern America (UN),,1960,1811029
Northern America (UN),,1970,2039147
Northern America (UN),,1980,2125573
Northern America (UN),,1990,2317754
Northern America (UN),,2000,2608888
Northern America (UN),,2010,2710578
Northern America (UN),,2021,3579160
Oceania (UN),,1950,148409
Oceania (UN),,1960,157420
Oceania (UN),,1970,182094
Oceania (UN),,1980,176497
Oceania (UN),,1990,191051
Oceania (UN),,2000,211796
Oceania (UN),,2010,243110
Oceania (UN),,2021,289468
