Entity,Code,Year,"Share of the rural population using at least basic sanitation services, improved sanitation facilities which are not shared"
High-income countries,,2000,96.12853
High-income countries,,2005,95.77891
High-income countries,,2010,96.62889
High-income countries,,2015,97.36529
High-income countries,,2020,97.691925
High-income countries,,2022,97.760315
Low-income countries,,2000,14.686521
Low-income countries,,2005,16.651882
Low-income countries,,2010,19.01529
Low-income countries,,2015,20.734528
Low-income countries,,2020,22.819868
Low-income countries,,2022,27.912539
Lower-middle-income countries,,2000,17.940245
Lower-middle-income countries,,2005,28.629087
Lower-middle-income countries,,2010,40.05615
Lower-middle-income countries,,2015,52.01244
Lower-middle-income countries,,2020,63.712822
Lower-middle-income countries,,2022,68.04981
Upper-middle-income countries,,2000,47.601257
Upper-middle-income countries,,2005,55.744816
Upper-middle-income countries,,2010,65.52396
Upper-middle-income countries,,2015,75.44619
Upper-middle-income countries,,2020,85.17222
Upper-middle-income countries,,2022,88.855736
World,OWID_WRL,2000,34.983868
World,OWID_WRL,2005,41.976048
World,OWID_WRL,2010,50.145905
World,OWID_WRL,2015,58.502113
World,OWID_WRL,2020,66.61175
World,OWID_WRL,2022,70.13416
