Entity,Code,Year,annual_visits
World,OWID_WRL,1961,4
World,OWID_WRL,1964,3
World,OWID_WRL,1967,1
World,OWID_WRL,1970,5
World,OWID_WRL,1973,13
World,OWID_WRL,1976,6
World,OWID_WRL,1979,4
World,OWID_WRL,1982,15
World,OWID_WRL,1985,63
World,OWID_WRL,1988,18
World,OWID_WRL,1991,42
World,OWID_WRL,1994,50
World,OWID_WRL,1997,58
World,OWID_WRL,2000,37
World,OWID_WRL,2003,13
World,OWID_WRL,2006,26
World,OWID_WRL,2009,46
World,OWID_WRL,2012,15
World,OWID_WRL,2015,12
World,OWID_WRL,2018,9
World,OWID_WRL,2021,7
