Entity,Code,Year,Sex ratio - Sex: none - Age: 5 - Variant: estimates
Bangladesh,BGD,1950,104.48
Bangladesh,BGD,1960,102.8
Bangladesh,BGD,1970,103.58
Bangladesh,BGD,1980,104.06
Bangladesh,BGD,1990,103.96
Bangladesh,BGD,2000,103.1
Bangladesh,BGD,2010,103.11
Bangladesh,BGD,2021,104.5
China,CHN,1950,110.31
China,CHN,1960,105.02
China,CHN,1970,105.35
China,CHN,1980,105.98
China,CHN,1990,107.87
China,CHN,2000,114.37
China,CHN,2010,117.45
China,CHN,2021,114.64
India,IND,1950,103.59
India,IND,1960,107.26
India,IND,1970,106.83
India,IND,1980,107.22
India,IND,1990,107.91
India,IND,2000,109.97
India,IND,2010,110.29
India,IND,2021,109.18
South Korea,KOR,1950,103.83
South Korea,KOR,1960,104.96
South Korea,KOR,1970,106.2
South Korea,KOR,1980,106.34
South Korea,KOR,1990,108.12
South Korea,KOR,2000,113.2
South Korea,KOR,2010,107.07
South Korea,KOR,2021,104.98
