Entity,Code,Year,"12.6.1 - Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number) - EN_SCP_FRMN - No breakdown"
Cyprus,CYP,2016,1
Cyprus,CYP,2017,2
Cyprus,CYP,2018,4
Cyprus,CYP,2019,9
Cyprus,CYP,2020,10
Cyprus,CYP,2021,12
Slovenia,SVN,2017,1
Slovenia,SVN,2018,1
Slovenia,SVN,2019,1
Slovenia,SVN,2020,1
Slovenia,SVN,2021,3
United Arab Emirates,ARE,2016,3
United Arab Emirates,ARE,2017,5
United Arab Emirates,ARE,2018,7
United Arab Emirates,ARE,2019,9
United Arab Emirates,ARE,2020,12
United Arab Emirates,ARE,2021,47
