Entity,Code,Year,"Death rate, crude (per 1,000 people)"
Cambodia,KHM,1960,20.951
Cambodia,KHM,1970,22.577
Cambodia,KHM,1980,16.53
Cambodia,KHM,1990,12.246
Cambodia,KHM,2000,9.273
Cambodia,KHM,2010,6.121
Cambodia,KHM,2020,6.228
Denmark,DNK,1960,9.5
Denmark,DNK,1970,9.8
Denmark,DNK,1980,10.9
Denmark,DNK,1990,11.9
Denmark,DNK,2000,10.9
Denmark,DNK,2010,9.8
Denmark,DNK,2020,9.4
Ghana,GHA,1960,18.998
Ghana,GHA,1970,18.422
Ghana,GHA,1980,15.111
Ghana,GHA,1990,11.492
Ghana,GHA,2000,9.922
Ghana,GHA,2010,8.626
Ghana,GHA,2020,7.448
Nigeria,NGA,1960,26.235
Nigeria,NGA,1970,24.347
Nigeria,NGA,1980,19.17
Nigeria,NGA,1990,18.631
Nigeria,NGA,2000,17.464
Nigeria,NGA,2010,14.628
Nigeria,NGA,2020,12.997
