Entity,Code,Year,funct_gov_eiu
Armenia,ARM,2006,3.21
Armenia,ARM,2008,3.21
Armenia,ARM,2010,3.21
Armenia,ARM,2012,3.21
Armenia,ARM,2014,2.86
Armenia,ARM,2016,2.86
Armenia,ARM,2018,4.64
Armenia,ARM,2020,5.0
Armenia,ARM,2022,5.71
Iran,IRN,2006,3.569999999999999
Iran,IRN,2008,2.86
Iran,IRN,2010,3.21
Iran,IRN,2012,2.86
Iran,IRN,2014,2.86
Iran,IRN,2016,3.21
Iran,IRN,2018,3.21
Iran,IRN,2020,2.5
Iran,IRN,2022,2.5
North Korea,PRK,2006,2.5
North Korea,PRK,2008,2.5
North Korea,PRK,2010,2.5
North Korea,PRK,2012,2.5
North Korea,PRK,2014,2.5
North Korea,PRK,2016,2.5
North Korea,PRK,2018,2.5
North Korea,PRK,2020,2.5
North Korea,PRK,2022,2.5
Uruguay,URY,2006,8.21
Uruguay,URY,2008,8.21
Uruguay,URY,2010,8.57
Uruguay,URY,2012,8.93
Uruguay,URY,2014,8.93
Uruguay,URY,2016,8.93
Uruguay,URY,2018,8.57
Uruguay,URY,2020,8.57
Uruguay,URY,2022,8.93
