Entity,Code,Year,Plastic leakage to aquatic envrionment - Leakage_type: Accumulated stock in oceans,Plastic leakage to aquatic envrionment - Leakage_type: Accumulated stock in rivers and lakes
Asia (excl. China and India),,2000,1815446.0,5624027.0
Asia (excl. China and India),,2005,2795849.0,8181655.0
Asia (excl. China and India),,2010,4171954.0,11598776.0
Asia (excl. China and India),,2015,5992579.0,15957285.0
Asia (excl. China and India),,2019,7819759.0,20188924.0
Europe,,2000,2108221.0,9576340.0
Europe,,2005,2789810.0,11592241.0
Europe,,2010,3556755.0,13484804.0
Europe,,2015,4377486.0,15068161.0
Europe,,2019,5050790.0,16057598.0
India,IND,2000,153987.0,1041458.94
India,IND,2005,296324.0,1878268.0
India,IND,2010,520510.97,3062250.0
India,IND,2015,854925.0,4729100.0
India,IND,2019,1223446.0,6414220.0
Middle East & North Africa,,2000,538256.0,2432921.0
Middle East & North Africa,,2005,772796.0,3338672.0
Middle East & North Africa,,2010,1079166.0,4452606.0
Middle East & North Africa,,2015,1465308.0,5775980.0
Middle East & North Africa,,2019,1840925.0,7021190.0
Sub-Saharan Africa,,2000,582204.0,2416811.0
Sub-Saharan Africa,,2005,940111.0,3790983.0
Sub-Saharan Africa,,2010,1472440.0,5682580.0
Sub-Saharan Africa,,2015,2215206.0,8093290.5
Sub-Saharan Africa,,2019,2975932.0,10300060.0
World,OWID_WRL,2000,8471748.0,38572700.0
World,OWID_WRL,2005,12356893.0,53340350.0
World,OWID_WRL,2010,17532564.0,71334400.0
World,OWID_WRL,2015,24102792.0,91952040.0
World,OWID_WRL,2019,30408748.0,109437000.0
