Entity,Code,Year,Computers & Communications,Electronics,Medical,Chemical,Mechanical,Other
United States,USA,1840,3,5,9,53,179,212
United States,USA,1860,13,97,36,448,1541,2221
United States,USA,1880,146,482,134,1161,4380,6598
United States,USA,1900,414,1411,341,2363,9103,11005
United States,USA,1920,783,3205,431,3229,14455,14957
United States,USA,1940,1578,5412,655,6807,12860,14924
United States,USA,1960,2677,8159,886,9106,13320,13021
United States,USA,1980,4696,9524,3973,14675,14131,14838
United States,USA,2000,32386,31769,17955,22336,26176,26953
United States,USA,2014,112459,64827,33347,27316,32745,29490
