Entity,Code,Year,Share of global greenhouse gas emissions
Brazil,BRA,1850,1.152994
Brazil,BRA,1860,1.1970413
Brazil,BRA,1880,1.3031086
Brazil,BRA,1900,1.8309071
Brazil,BRA,1920,3.477902
Brazil,BRA,1940,2.9238594
Brazil,BRA,1960,5.1785946
Brazil,BRA,1980,5.182072
Brazil,BRA,2000,5.992431
Brazil,BRA,2021,3.938078
Canada,CAN,1850,1.6747359
Canada,CAN,1860,2.0471907
Canada,CAN,1880,2.035057
Canada,CAN,1900,2.096263
Canada,CAN,1920,3.287493
Canada,CAN,1940,2.7047856
Canada,CAN,1960,2.2050238
Canada,CAN,1980,2.1995702
Canada,CAN,2000,2.126864
Canada,CAN,2021,1.4238123
China,CHN,1850,11.086248
China,CHN,1860,8.584485
China,CHN,1880,5.291756
China,CHN,1900,4.7634077
China,CHN,1920,5.809572
China,CHN,1940,5.464062
China,CHN,1960,7.650908
China,CHN,1980,8.4477005
China,CHN,2000,12.868758
China,CHN,2021,25.114183
European Union (28),,1850,17.786577
European Union (28),,1860,17.751324
European Union (28),,1880,20.965992
European Union (28),,1900,22.475597
European Union (28),,1920,18.968437
European Union (28),,1940,18.294123
European Union (28),,1960,16.61439
European Union (28),,1980,17.935488
European Union (28),,2000,12.187728
European Union (28),,2021,6.965695
India,IND,1850,8.594263
India,IND,1860,6.5306582
India,IND,1880,5.5505505
India,IND,1900,4.5897303
India,IND,1920,4.449726
India,IND,1940,5.086094
India,IND,1960,4.263402
India,IND,1980,3.4305818
India,IND,2000,4.8596215
India,IND,2021,7.145445
Japan,JPN,1850,0.5895827
Japan,JPN,1860,0.56338996
Japan,JPN,1880,0.57963276
Japan,JPN,1900,0.8032336
Japan,JPN,1920,1.296061
Japan,JPN,1940,1.8110774
Japan,JPN,1960,1.6093262
Japan,JPN,1980,3.0941274
Japan,JPN,2000,3.1688154
Japan,JPN,2021,2.0227873
Russia,RUS,1850,9.508698
Russia,RUS,1860,9.092379
Russia,RUS,1880,8.674251
Russia,RUS,1900,8.725197
Russia,RUS,1920,5.5532413
Russia,RUS,1940,8.790006
Russia,RUS,1960,8.382135
Russia,RUS,1980,8.808127
Russia,RUS,2000,4.3072586
Russia,RUS,2021,4.4162173
South Africa,ZAF,1850,0.06911567
South Africa,ZAF,1860,0.09244274
South Africa,ZAF,1880,0.21077706
South Africa,ZAF,1900,0.2648426
South Africa,ZAF,1920,0.77916414
South Africa,ZAF,1940,0.9125753
South Africa,ZAF,1960,0.9413934
South Africa,ZAF,1980,0.97508746
South Africa,ZAF,2000,1.2389035
South Africa,ZAF,2021,1.0127455
United States,USA,1850,20.768867
United States,USA,1860,24.30354
United States,USA,1880,29.406363
United States,USA,1900,28.191177
United States,USA,1920,28.601288
United States,USA,1940,22.821129
United States,USA,1960,16.737516
United States,USA,1980,17.929409
United States,USA,2000,17.048483
United States,USA,2021,10.85431
