Entity,Code,Year,"Current number of cases of cardiovascular diseases per 100,000 people, in both sexes aged age-standardized"
Egypt,EGY,1990,8.768717
Egypt,EGY,1995,8.685134
Egypt,EGY,2000,8.689597
Egypt,EGY,2005,8.900348
Egypt,EGY,2010,9.219213
Egypt,EGY,2015,9.224912
Egypt,EGY,2019,9.280838
Iraq,IRQ,1990,9.0840625
Iraq,IRQ,1995,8.944428
Iraq,IRQ,2000,8.942361000000002
Iraq,IRQ,2005,8.760491
Iraq,IRQ,2010,8.764939
Iraq,IRQ,2015,8.659184999999999
Iraq,IRQ,2019,8.721136000000001
Lithuania,LTU,1990,7.24945
Lithuania,LTU,1995,7.320746000000001
Lithuania,LTU,2000,7.154185000000001
Lithuania,LTU,2005,7.3573843
Lithuania,LTU,2010,7.208251000000001
Lithuania,LTU,2015,7.1963490000000006
Lithuania,LTU,2019,7.169527
United Kingdom,GBR,1990,6.9504470000000005
United Kingdom,GBR,1995,6.4025103
United Kingdom,GBR,2000,6.0261133000000005
United Kingdom,GBR,2005,5.644395
United Kingdom,GBR,2010,5.4550327
United Kingdom,GBR,2015,5.4800273
United Kingdom,GBR,2019,5.545690400000001
United States,USA,1990,8.855048
United States,USA,1995,7.9562856
United States,USA,2000,8.066303
United States,USA,2005,7.742769
United States,USA,2010,7.796027
United States,USA,2015,7.505595
United States,USA,2019,7.617074
World,OWID_WRL,1990,6.728042
World,OWID_WRL,1995,6.565169
World,OWID_WRL,2000,6.512378399999999
World,OWID_WRL,2005,6.426715000000001
World,OWID_WRL,2010,6.393218
World,OWID_WRL,2015,6.3985396
World,OWID_WRL,2019,6.4315690000000005
