Entity,Code,Year,Share of the population not using improved water sources
Indonesia,IDN,2000,24.124863
Indonesia,IDN,2005,19.310707
Indonesia,IDN,2010,14.751907
Indonesia,IDN,2015,10.536804
Indonesia,IDN,2020,6.5544357
Indonesia,IDN,2022,5.0268173
Iraq,IRQ,2000,17.8759
Iraq,IRQ,2005,13.458519
Iraq,IRQ,2010,9.07457
Iraq,IRQ,2015,4.695732
Iraq,IRQ,2020,0.74793243
Iraq,IRQ,2022,0.7360916
Libya,LBY,2000,15.767929
Libya,LBY,2005,11.418083
Libya,LBY,2010,7.0682297
Libya,LBY,2015,2.7183838
Libya,LBY,2020,0.10847473
Libya,LBY,2022,0.10847473
Niger,NER,2000,57.6067
Niger,NER,2005,51.691093
Niger,NER,2010,45.82118
Niger,NER,2015,39.92804
Niger,NER,2020,33.906395
Niger,NER,2022,31.470741
Saint Kitts and Nevis,KNA,2000,1.5501022
Saint Kitts and Nevis,KNA,2005,1.4878159
Saint Kitts and Nevis,KNA,2010,1.4255219
Saint Kitts and Nevis,KNA,2015,1.3881454
Switzerland,CHE,2000,0.0
Switzerland,CHE,2005,0.0
Switzerland,CHE,2010,0.0
Switzerland,CHE,2015,0.0
Switzerland,CHE,2020,0.0
Switzerland,CHE,2022,0.0
Ukraine,UKR,2000,1.7747574
Ukraine,UKR,2005,1.5083237
Ukraine,UKR,2010,1.2551727
Ukraine,UKR,2015,1.0248108
Ukraine,UKR,2020,0.80677795
Ukraine,UKR,2022,0.7406769
