Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)","GDP per capita (output, multiple price benchmarks)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Bermuda,BMU,2019,81681.73,51003.266,63833.0,
Brazil,BRA,2019,14685.128,14593.961,211782880.0,
Burundi,BDI,2019,729.65845,790.046,11874838.0,
China,CHN,2019,15977.764,14128.812,1421864064.0,
Democratic Republic of Congo,COD,2019,1059.8921,1021.6937,89906896.0,
Ethiopia,ETH,2019,2181.659,2720.7412,114120592.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,53874.316,51190.89,83148144.0,
Haiti,HTI,2019,3101.5942,1554.0212,11160441.0,
India,IND,2019,6608.624,6711.385,1383112064.0,
Indonesia,IDN,2019,11857.789,11595.102,269582880.0,
Japan,JPN,2019,41697.41,39704.234,125791680.0,
Madagascar,MDG,2019,1585.4717,1539.063,27533134.0,
Malawi,MWI,2019,1517.7031,1161.3806,18867340.0,
Mexico,MEX,2019,20064.5,18736.527,125085312.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,5157.5464,5026.2085,223293280.0,
Palestine,PSE,2019,6245.4487,7386.203,4909775.0,
Philippines,PHL,2019,8731.861,8448.533,110380800.0,
Portugal,PRT,2019,34945.66,31796.8,10289921.0,
Russia,RUS,2019,27254.574,28526.293,145742288.0,
Saudi Arabia,SAU,2019,44954.992,51824.88,35827364.0,
Singapore,SGP,2019,98283.31,82336.34,5866408.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,4133.1304,4230.835,43232092.0,
Togo,TGO,2019,2080.5242,2235.2266,8243093.0,
Turkmenistan,TKM,2019,14992.604,26026.03,6158424.0,
United States,USA,2019,62478.254,62589.0,334319680.0,
Zambia,ZMB,2019,3372.359,3179.1958,18380478.0,
