Entity,Code,Year,Gender wage gap (OECD 2017)
Australia,AUS,1980,18.8
Australia,AUS,1990,18.2
Australia,AUS,2000,17.2
Australia,AUS,2010,14.0
Australia,AUS,2016,14.3
Denmark,DNK,2010,8.9
France,FRA,2010,9.1
Japan,JPN,1980,41.7
Japan,JPN,1990,40.6
Japan,JPN,2000,33.9
Japan,JPN,2010,28.7
Sweden,SWE,1980,12.8
Sweden,SWE,1990,19.0
Sweden,SWE,2000,15.5
Sweden,SWE,2010,14.3
United Kingdom,GBR,1970,47.6
United Kingdom,GBR,1980,36.7
United Kingdom,GBR,1990,32.7
United Kingdom,GBR,2000,26.3
United Kingdom,GBR,2010,19.2
United Kingdom,GBR,2016,16.8
United States,USA,1980,36.6
United States,USA,1990,28.5
United States,USA,2000,23.1
United States,USA,2010,18.8
United States,USA,2016,18.1
