Entity,Code,Year,The number of countries using each type of ICD code
ICD-10,,1950,0
ICD-10,,1953,0
ICD-10,,1956,0
ICD-10,,1959,0
ICD-10,,1962,0
ICD-10,,1965,0
ICD-10,,1968,0
ICD-10,,1971,0
ICD-10,,1974,0
ICD-10,,1977,0
ICD-10,,1980,0
ICD-10,,1983,0
ICD-10,,1986,0
ICD-10,,1989,1
ICD-10,,1992,1
ICD-10,,1995,14
ICD-10,,1998,59
ICD-10,,2001,104
ICD-10,,2004,106
ICD-10,,2007,110
ICD-10,,2009,122
ICD-10,,2010,118
ICD-10,,2013,116
ICD-10,,2016,114
ICD-10,,2021,26
ICD-7,,1950,15
ICD-7,,1953,27
ICD-7,,1956,49
ICD-7,,1959,57
ICD-7,,1962,60
ICD-7,,1965,70
ICD-7,,1968,28
ICD-7,,1971,1
ICD-7,,1974,0
ICD-7,,1977,0
ICD-7,,1980,0
ICD-7,,1983,0
ICD-7,,1986,0
ICD-7,,1989,0
ICD-7,,1992,0
ICD-7,,1995,0
ICD-7,,1998,0
ICD-7,,2001,0
ICD-7,,2004,0
ICD-7,,2007,0
ICD-7,,2009,0
ICD-7,,2010,0
ICD-7,,2013,0
ICD-7,,2016,0
ICD-7,,2021,0
ICD-8,,1950,0
ICD-8,,1953,0
ICD-8,,1956,0
ICD-8,,1959,0
ICD-8,,1962,0
ICD-8,,1965,0
ICD-8,,1968,44
ICD-8,,1971,73
ICD-8,,1974,76
ICD-8,,1977,83
ICD-8,,1980,9
ICD-8,,1983,7
ICD-8,,1986,4
ICD-8,,1989,3
ICD-8,,1992,3
ICD-8,,1995,1
ICD-8,,1998,1
ICD-8,,2001,1
ICD-8,,2004,1
ICD-8,,2007,1
ICD-8,,2009,0
ICD-8,,2010,0
ICD-8,,2013,0
ICD-8,,2016,0
ICD-8,,2021,0
ICD-9,,1950,0
ICD-9,,1953,0
ICD-9,,1956,0
ICD-9,,1959,0
ICD-9,,1962,0
ICD-9,,1965,0
ICD-9,,1968,0
ICD-9,,1971,0
ICD-9,,1974,0
ICD-9,,1977,0
ICD-9,,1980,70
ICD-9,,1983,70
ICD-9,,1986,91
ICD-9,,1989,94
ICD-9,,1992,91
ICD-9,,1995,87
ICD-9,,1998,45
ICD-9,,2001,18
ICD-9,,2004,11
ICD-9,,2007,3
ICD-9,,2009,3
ICD-9,,2010,3
ICD-9,,2013,1
ICD-9,,2016,0
ICD-9,,2021,0
