Entity,Code,Year,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Rate)
Afghanistan,AFG,1990,393.2
Afghanistan,AFG,1995,286.78
Afghanistan,AFG,2000,277.06
Afghanistan,AFG,2005,222.69
Afghanistan,AFG,2010,188.51
Afghanistan,AFG,2015,169.35
Afghanistan,AFG,2019,161.96
Andorra,AND,1990,119.32
Andorra,AND,1995,134.05
Andorra,AND,2000,153.31
Andorra,AND,2005,151.22
Andorra,AND,2010,168.59
Andorra,AND,2015,198.88
Andorra,AND,2019,202.88
France,FRA,1990,298.05
France,FRA,1995,281.95
France,FRA,2000,268.85
France,FRA,2005,242.83
France,FRA,2010,231.64
France,FRA,2015,231.76
France,FRA,2019,251.49
Mauritius,MUS,1990,278.72
Mauritius,MUS,1995,286.99
Mauritius,MUS,2000,295.81
Mauritius,MUS,2005,257.83
Mauritius,MUS,2010,215.53
Mauritius,MUS,2015,225.71
Mauritius,MUS,2019,259.2
Romania,ROU,1990,583.54
Romania,ROU,1995,691.31
Romania,ROU,2000,659.47
Romania,ROU,2005,703.43
Romania,ROU,2010,713.37
Romania,ROU,2015,725.95
Romania,ROU,2019,781.96
Russia,RUS,1990,589.91
Russia,RUS,1995,791.57
Russia,RUS,2000,836.83
Russia,RUS,2005,913.62
Russia,RUS,2010,798.98
Russia,RUS,2015,703.16
Russia,RUS,2019,684.94
