Entity,Code,Year,International migrant stock (% of population)
South Africa,ZAF,1990,3.163285
South Africa,ZAF,1995,2.4230855
South Africa,ZAF,2000,2.2313924
South Africa,ZAF,2005,2.5043683
South Africa,ZAF,2010,3.7641206
South Africa,ZAF,2015,5.7670903
South Korea,KOR,1990,0.10010413
South Korea,KOR,1995,0.27744165
South Korea,KOR,2000,0.5284521
South Korea,KOR,2005,1.019929
South Korea,KOR,2010,1.8726304
South Korea,KOR,2015,2.6391594
United Kingdom,GBR,1990,6.3916626
United Kingdom,GBR,1995,7.1762023
United Kingdom,GBR,2000,8.035342
United Kingdom,GBR,2005,9.842476
United Kingdom,GBR,2010,12.125295
United Kingdom,GBR,2015,13.200978
United States,USA,1990,9.195661
United States,USA,1995,10.684817
United States,USA,2000,12.306319
United States,USA,2005,13.256683
United States,USA,2010,14.258484
United States,USA,2015,14.490654
