Entity,Code,Year,Annual CO₂ emissions (per capita),Primary energy consumption per capita (kWh/person),Population (historical estimates),Continent
Africa,,2022,0.99422127,3943.8438,,
Argentina,ARG,2022,4.2378173,21994.422,,
Asia,,2022,4.611434,19139.61,,
Europe,,2022,6.8578663,38323.848,,
High-income countries,,2022,10.136309,56468.69,,
Kazakhstan,KAZ,2022,13.979704,44701.98,,
Lower-middle-income countries,,2022,1.8575872,6657.9517,,
North America,,2022,10.5346775,55936.836,,
Norway,NOR,2022,7.5093055,96926.234,,
Oceania,,2022,9.85179,42057.26,,
Qatar,QAT,2022,37.601273,194221.6,,
Saudi Arabia,SAU,2022,18.197495,87707.29,,
Singapore,SGP,2022,8.911513,147084.84,,
South America,,2022,2.4865332,16804.742,,
Sweden,SWE,2022,3.6069093,59926.805,,
Trinidad and Tobago,TTO,2022,22.423758,107268.734,,
United Arab Emirates,ARE,2022,25.833244,148576.55,,
United Kingdom,GBR,2022,4.7201805,30097.885,,
United States,USA,2022,14.949616,78754.27,,
Upper-middle-income countries,,2022,6.617815,27389.883,,
World,OWID_WRL,2022,4.658219,21038.93,,
